congbio_member_name,congbio_position,congbio_party,congbio_state,congbio_birth,congbio_death,congbio_congress,join_name,congbio_id,congbio_url,name_id
"Ames, Fisher",Representative,Pro-Administration,MA,1758,1808,1,Fisher Ames,A000174,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000174,AF0004
"Ashe, John Baptista",Representative,Anti-Administration,NC,1748,1802,1,John Baptista Ashe,A000307,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000307,AJ0212
"Burke, Aedanus",Representative,Anti-Administration,SC,1743,1802,1,Aedanus Burke,B001086,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001086,BA0012
"Baldwin, Abraham",Representative,Anti-Administration,GA,1754,1807,1,Abraham Baldwin,B000084,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000084,BA0026
"Bourne, Benjamin",Representative,Pro-Administration,RI,1755,1808,1,Benjamin Bourne,B000669,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000669,BB0013
"Boudinot, Elias",Representative,Pro-Administration,NJ,1740,1821,1,Elias Boudinot,B000661,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000661,BE0179
"Benson, Egbert",Representative,Pro-Administration,NY,1746,1833,1,Egbert Benson,B000388,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000388,BE0217
"Brown, John",Representative,Anti-Administration,VA,1757,1837,1,John Brown,B000929,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000929,BJ0274
"Butler, Pierce",Senator,Pro-Administration,SC,1744,1822,1,Pierce Butler,B001186,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001186,BP0091
"Bassett, Richard",Senator,Anti-Administration,DE,1745,1815,1,Richard Bassett,B000226,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000226,BR0005
"Bloodworth, Timothy",Representative,NA,NC,1736,1814,1,Timothy Bloodworth,B000563,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000563,BT0199
"Bland, Theodorick",Representative,Anti-Administration,VA,1742,1790,1,Theodorick Bland,B000546,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000546,BT0354
"Contee, Benjamin",Representative,Anti-Administration,MD,1755,1815,1,Benjamin Contee,C000710,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000710,CB0013
"Carroll, Charles (Of Carrollton)",Senator,Pro-Administration,MD,1737,1832,1,Charles (Of Carrollton) Carroll,C000185,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000185,CC0012
"Carroll, Daniel",Representative,Pro-Administration,MD,1730,1796,1,Daniel Carroll,C000187,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000187,CD0030
"Clymer, George",Representative,Pro-Administration,PA,1739,1813,1,George Clymer,C000538,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000538,CG0011
"Coles, Isaac",Representative,Anti-Administration,VA,1747,1813,1,Isaac Coles,C000624,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000624,CI0035
"Cadwalader, Lambert",Representative,Pro-Administration,NJ,1742,1823,1,Lambert Cadwalader,C000012,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000012,CL0010
"Dickinson, Philemon",Senator,Pro-Administration,NJ,1739,1809,1,Philemon Dickinson,D000324,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000324,DP0018
"Dalton, Tristram",Senator,Pro-Administration,MA,1738,1817,1,Tristram Dalton,D000013,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000013,DT0022
"Elmer, Jonathan",Senator,Pro-Administration,NJ,1745,1817,1,Jonathan Elmer,E000155,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000155,EJ0094
"Ellsworth, Oliver",Senator,Pro-Administration,CT,1745,1807,1,Oliver Ellsworth,E000147,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000147,EO0001
"Foster, Abiel",Representative,Pro-Administration,NH,1735,1806,1,Abiel Foster,F000297,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000297,FA0029
"Fitzsimons, Thomas",Representative,Pro-Administration,PA,1741,1811,1,Thomas Fitzsimons,F000178,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000178,FT0061
"Few, William",Senator,Anti-Administration,GA,1748,1828,1,William Few,F000100,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000100,FW0005
"Floyd, William",Representative,Anti-Administration,NY,1734,1821,1,William Floyd,F000224,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000224,FW0034
"Goodhue, Benjamin",Representative,Federalist,MA,1748,1814,1,Benjamin Goodhue,G000286,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000286,GB0015
"Gerry, Elbridge",Representative,Anti-Administration,MA,1744,1814,1,Elbridge Gerry,G000139,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000139,GE0049
"Gale, George",Representative,Pro-Administration,MD,1756,1815,1,George Gale,G000012,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000012,GG0007
"Gunn, James",Senator,Anti-Administration,GA,1753,1801,1,James Gunn,G000526,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000526,GJ0032
"Grout, Jonathan",Representative,Anti-Administration,MA,1737,1807,1,Jonathan Grout,G000500,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000500,GJ0158
