election_id,election_year,candidate,name_id,affiliation,affiliation_id,county_vote,district_vote,difference_vote,difference_percentage
ct.uscongress.1825,1825,Gideon Tomlinson,TG0001,Republican,null,6263,NA,-6263,1.0
ct.uscongress.1825,1825,Elisha Phelps,PE0012,Republican,null,5934,NA,-5934,1.0
ct.uscongress.1825,1825,Ralph I. Ingersoll,IR0000,Republican,null,5545,NA,-5545,1.0
ct.uscongress.1825,1825,Orange Merwin,MO0000,Republican,null,5518,NA,-5518,1.0
ct.uscongress.1825,1825,Noyes Barber,BN0014,Republican,null,4401,NA,-4401,1.0
ct.uscongress.1825,1825,John Baldwin,BJ1555,Republican,null,3653,NA,-3653,1.0
ct.uscongress.1825,1825,Daniel Burrows,BD0248,Republican,null,1785,NA,-1785,1.0
ct.uscongress.1825,1825,Elisha Tracy,TE0007,Republican,null,1491,NA,-1491,1.0
ct.uscongress.1825,1825,Timothy Pitkin,PT0001,Federalist,null,1313,NA,-1313,1.0
ct.uscongress.1825,1825,Calvin Willey,WC0000,Republican,null,911,NA,-911,1.0
ct.uscongress.1825,1825,Samuel A. Foot,FS0001,Republican,null,574,NA,-574,1.0
ct.uscongress.1825,1825,Asa Bacon,BA0002,Federalist,null,407,NA,-407,1.0
ct.uscongress.1825,1825,Dennis Kimberly,KD0044,Republican,null,342,NA,-342,1.0
ct.uscongress.1825,1825,Lyman Law,LL0001,Republican,null,315,NA,-315,1.0
ct.uscongress.1825,1825,Samuel Church,CS0269,Republican,null,305,NA,-305,1.0
ct.uscongress.1825,1825,Robert Fairchild,FR0000,Republican,null,220,NA,-220,1.0
ct.uscongress.1825,1825,Jacob B. Gurley,GJ0012,Federalist,null,197,NA,-197,1.0
ct.uscongress.1825,1825,Roger M. Sherman,SR0005,Federalist,null,193,NA,-193,1.0
ct.uscongress.1825,1825,Thomas S. Williams,WT0003,Federalist,null,149,NA,-149,1.0
ct.uscongress.1825,1825,Clark Bissell,BC0189,null,null,129,NA,-129,1.0
ct.uscongress.1825,1825,Charles Denison,DC0000,Federalist,null,92,NA,-92,1.0
ct.uscongress.1825,1825,Frederick Wolcott,WF0018,Federalist,null,74,NA,-74,1.0
ct.uscongress.1825,1825,Nathan Johnson,JN0022,Republican,null,69,NA,-69,1.0
ct.uscongress.1825,1825,John T. Peters,PJ0003,Republican,null,63,NA,-63,1.0
ct.uscongress.1825,1825,Ebenezer Stoddard,SE0220,Republican,null,59,NA,-59,1.0
ct.uscongress.1825,1825,Ansel Sterling,SA0013,Republican,null,48,NA,-48,1.0
ct.uscongress.1825,1825,Samuel Whitman,WS0250,null,null,42,NA,-42,1.0
ct.uscongress.1825,1825,Rufus Hitchcock,HR0000,Republican,null,38,NA,-38,1.0
ct.uscongress.1825,1825,Samuel B. Sherwood,SS0000,Federalist,null,37,NA,-37,1.0
ct.uscongress.1825,1825,Calvin Goddard,GC0005,Republican,null,36,NA,-36,1.0
ct.uscongress.1825,1825,Thomas S. Perkins,PT0160,Republican,null,34,NA,-34,1.0
ct.uscongress.1825,1825,Nathaniel Foy,FN0052,null,null,27,NA,-27,1.0
ct.uscongress.1825,1825,Thomas Williams,WT0172,Federalist,null,23,NA,-23,1.0
ct.uscongress.1825,1825,Jonathan W. Edwards,EJ0007,Federalist,null,22,NA,-22,1.0
ct.uscongress.1825,1825,Samuel W. Dana,DS0003,Federalist,null,22,NA,-22,1.0
ct.uscongress.1825,1825,Charles P. Huntington,HC0160,null,null,21,NA,-21,1.0
ct.uscongress.1825,1825,Simeon Baldwin,BS0001,Federalist,null,20,NA,-20,1.0
ct.uscongress.1825,1825,Dennis Kimball,KD0065,null,null,19,NA,-19,1.0
ct.uscongress.1825,1825,John Russ,RJ0004,Republican,null,18,NA,-18,1.0
ct.uscongress.1825,1825,Elijah Hubbard,HE0013,Federalist,null,17,NA,-17,1.0
ct.uscongress.1825,1825,Ichabod Ward,WI0063,null,null,17,NA,-17,1.0
ct.uscongress.1825,1825,Andrew T. Judson,JA0055,Republican,null,15,NA,-15,1.0
ct.uscongress.1825,1825,Edmund Badger,BE0262,Republican,null,11,NA,-11,1.0
ct.uscongress.1825,1825,David Daggett,DD0000,Federalist,null,9,NA,-9,1.0
ct.uscongress.1825,1825,Joseph Trumbull,TJ0540,null,null,9,NA,-9,1.0
ct.uscongress.1825,1825,Henry W. Edwards,EH0001,Republican,null,8,NA,-8,1.0
ct.uscongress.1825,1825,Jabez H. Huntington,HJ1258,Federalist,null,8,NA,-8,1.0
ct.uscongress.1825,1825,Nathan Smith,SN0016,Federalist,null,6,NA,-6,1.0
ct.uscongress.1825,1825,Noah B. Benedict,BN0004,Federalist,null,6,NA,-6,1.0
ct.uscongress.1825,1825,Seth P. Beers,BS0029,Republican,null,6,NA,-6,1.0
ct.uscongress.1825,1825,Joseph Eaton,EJ0009,Federalist,null,5,NA,-5,1.0
ct.uscongress.1825,1825,William W. Ellsworth,EW0092,null,null,4,NA,-4,1.0
ct.uscongress.1825,1825,David Plant,PD0008,Republican,null,3,NA,-3,1.0
ct.uscongress.1825,1825,Luther Loomis,LL0006,Republican,null,3,NA,-3,1.0
ct.uscongress.1825,1825,John Welch,WJ0024,Republican,null,2,NA,-2,1.0
ct.uscongress.1825,1825,Thomas Day,DT0007,Republican,null,2,NA,-2,1.0
ct.uscongress.1825,1825,Ebenezer Learned,LE0109,null,null,1,NA,-1,1.0
ct.uscongress.1825,1825,Epaphras L. Phelps,PE0168,Federalist,null,1,NA,-1,1.0
ct.uscongress.1825,1825,James Dodd,DJ0648,null,null,1,NA,-1,1.0
ct.uscongress.1825,1825,James Gould,GJ0008,Federalist,null,1,NA,-1,1.0
ct.uscongress.1825,1825,Joel Holkins,HJ1266,Federalist,null,1,NA,-1,1.0
ct.uscongress.1825,1825,Sylvester Wells,WS0011,Republican,null,1,NA,-1,1.0
ct.uscongress.1825,1825,Asa Brown,BA0314,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Asa Willey,WA0004,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,Augustus Pettibone,PA0183,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,Benjamin Talmadge,TB0015,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,Burnet Monson,MB0080,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Charles B. Phelps,PC0098,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Charles Loring,LC0077,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Charles Pict,PC0093,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Charles Taintor,TC0068,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Clark Moore,MC0102,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Comfort D. Tillman,TC0067,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Cushing Eells,EC0000,Republican,null,0,NA,0,NaN
ct.uscongress.1825,1825,Daniel Bacon,BD0250,Republican,null,0,NA,0,NaN
ct.uscongress.1825,1825,"Daniel Frost, Jr.",FD0076,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,Daniel Kimberly,KD0070,Republican,null,0,NA,0,NaN
ct.uscongress.1825,1825,Daniel Tomlinson,TD0014,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,David Burrows,BD0245,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Dennis Kingsbury,KD0064,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Ebenezer Phillips,PE0157,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Elias Perkins,PE0001,Republican,null,0,NA,0,NaN
ct.uscongress.1825,1825,Elias Tracy,TE0091,Republican,null,0,NA,0,NaN
ct.uscongress.1825,1825,Elisha Brigham,BE0257,Republican,null,0,NA,0,NaN
ct.uscongress.1825,1825,Elisha Stearns,SE0218,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,Elisha Sterling,SE0001,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,Elizur Goodrich,GE0001,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,Enoch Burrows,BE0023,Republican,null,0,NA,0,NaN
ct.uscongress.1825,1825,Enoch Perkins,PE0010,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,Epaphroditus Champion,CE0020,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,George Hall,HG0176,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,George Larned,LG0089,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,George O. Lewis,LG0088,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,George Stannard,SG0196,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,George W. Stanley,SG0001,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Henry Channing,CH0110,Republican,null,0,NA,0,NaN
ct.uscongress.1825,1825,Henry L. Ellsworth,EH0032,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,Henry Lyman,LH0083,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Henry Strong,SH0167,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Hiram Rider,RH0089,Republican,null,0,NA,0,NaN
ct.uscongress.1825,1825,Homer Boardman,BH0223,Republican,null,0,NA,0,NaN
ct.uscongress.1825,1825,Isaac Chapman,CI0066,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,James Gould,GJ0008,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,James Kimberly,KJ0319,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,James Lanman,LJ0005,Republican,null,0,NA,0,NaN
ct.uscongress.1825,1825,Jirah Isham,IJ0016,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,John Hall,HJ0022,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,John Hallam,HJ1267,Republican,null,0,NA,0,NaN
ct.uscongress.1825,1825,"John Nichols, Jr.",NJ0209,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,John W. Clillun,CJ1111,null,null,0,NA,0,NaN
ct.uscongress.1825,1825,Jonathan Barnes,BJ0028,Federalist,null,0,NA,0,NaN
ct.uscongress.1825,1825,Jonathan G. Smith,SJ0013,null,null,0,NA,0,NaN
