election_id,election_year,candidate,name_id,affiliation,affiliation_id,county_vote,district_vote,difference_vote,difference_percentage
ga.uscongress.1816,1816,William Terrell,TW0005,null,null,10997,NA,-10997,1.0
ga.uscongress.1816,1816,Joel Crawford,CJ0122,null,null,10569,NA,-10569,1.0
ga.uscongress.1816,1816,Joel Abbot,AJ0029,null,null,9663,NA,-9663,1.0
ga.uscongress.1816,1816,Zadock Cook,CZ0000,null,null,8481,NA,-8481,1.0
ga.uscongress.1816,1816,Thomas W. Cobb,CT0041,null,null,8332,NA,-8332,1.0
ga.uscongress.1816,1816,John Forsyth,FJ0021,null,null,7895,NA,-7895,1.0
ga.uscongress.1816,1816,John M. Dooly,DJ0047,null,null,7297,NA,-7297,1.0
ga.uscongress.1816,1816,Richard H. Wilde,WR0013,null,null,6997,NA,-6997,1.0
ga.uscongress.1816,1816,Homer Virgil Milton,MH0021,null,null,6938,NA,-6938,1.0
ga.uscongress.1816,1816,Wilson Lumpkin,LW0012,null,null,6910,NA,-6910,1.0
ga.uscongress.1816,1816,Alfred Cuthbert,CA0020,null,null,6207,NA,-6207,1.0
ga.uscongress.1816,1816,Allen Daniel,DA0004,null,null,5753,NA,-5753,1.0
ga.uscongress.1816,1816,Thomas Telfair,TT0002,null,null,2270,NA,-2270,1.0
ga.uscongress.1816,1816,James Wood,WJ0077,null,null,1624,NA,-1624,1.0
ga.uscongress.1816,1816,Key,null,null,null,12,NA,-12,1.0
