election_id,election_year,candidate,name_id,affiliation,affiliation_id,county_vote,district_vote,difference_vote,difference_percentage
md.uscongress5.1798,1798,Samuel Smith,SS0062,Republican,A03,1288,2610,1322,0.51
md.uscongress5.1798,1798,James Winchester,WJ0140,Federalist,A01,1010,1911,901,0.47
md.uscongress1.1798,1798,George Dent,DG0004,Federalist,A01,1241,1241,0,0.0
md.uscongress1.1798,1798,John Campbell,CJ0207,Federalist,A01,1038,1038,0,0.0
md.uscongress2.1798,1798,John Chew Thomas,TJ0169,Federalist,A01,1924,1924,0,0.0
md.uscongress2.1798,1798,"Richard Sprigg, Jr.",SR0049,Republican,A03,1197,1197,0,0.0
md.uscongress3.1798,1798,William Craik,CW0040,Federalist,A01,1436,1436,0,0.0
md.uscongress4.1798,1798,Daniel Heister,HD0024,Republican,A03,2338,2338,0,0.0
md.uscongress4.1798,1798,George Baer,BG0023,Federalist,A01,2846,2846,0,0.0
md.uscongress6.1798,1798,Gabriel Christie,CG0044,Republican,A03,2512,2512,0,0.0
md.uscongress6.1798,1798,Philip Thomas,TP0016,Federalist,A01,1956,1956,0,0.0
md.uscongress7.1798,1798,Joshua Seney,SJ0183,Republican,A03,2061,2061,0,0.0
md.uscongress7.1798,1798,William Hindman,HW0097,Federalist,A01,1646,1646,0,0.0
md.uscongress8.1798,1798,John Dennis,DJ0122,Federalist,A01,460,460,0,0.0
