election_id,election_year,candidate,name_id,affiliation,affiliation_id,county_vote,district_vote,difference_vote,difference_percentage
md.uscongress5.1818,1818,Samuel Smith,SS0062,Republican,A03,1786,7290,5504,0.76
md.uscongress5.1818,1818,Peter Little,LP0015,Republican,A03,1722,7214,5492,0.76
md.uscongress8.1818,1818,Thomas Bayly,BT0056,supported by both parties,A10,4580,476,-4104,0.9
md.uscongress8.1818,1818,Thomas Bayly,BT0056,supported by both parties,A10,4580,624,-3956,0.86
md.uscongress8.1818,1818,Thomas Bayly,BT0056,supported by both parties,A10,4580,650,-3930,0.86
md.uscongress6.1818,1818,Philip Reed,RP0009,Federalist,A01,2378,55,-2323,0.98
md.uscongress6.1818,1818,Philip Reed,RP0009,Federalist,A01,2378,174,-2204,0.93
md.uscongress6.1818,1818,Philip Reed,RP0009,Federalist,A01,2378,188,-2190,0.92
md.uscongress6.1818,1818,Philip Reed,RP0009,Federalist,A01,2378,214,-2164,0.91
md.uscongress6.1818,1818,Philip Reed,RP0009,Federalist,A01,2378,238,-2140,0.9
md.uscongress6.1818,1818,Philip Reed,RP0009,Federalist,A01,2378,247,-2131,0.9
md.uscongress6.1818,1818,Philip Reed,RP0009,Federalist,A01,2378,250,-2128,0.89
md.uscongress6.1818,1818,Stevenson Archer,AS0013,Republican,A03,2198,89,-2109,0.96
md.uscongress6.1818,1818,Stevenson Archer,AS0013,Republican,A03,2198,105,-2093,0.95
md.uscongress6.1818,1818,Stevenson Archer,AS0013,Republican,A03,2198,121,-2077,0.94
md.uscongress6.1818,1818,Stevenson Archer,AS0013,Republican,A03,2198,122,-2076,0.94
md.uscongress6.1818,1818,Stevenson Archer,AS0013,Republican,A03,2198,159,-2039,0.93
md.uscongress6.1818,1818,Philip Reed,RP0009,Federalist,A01,2378,344,-2034,0.86
md.uscongress6.1818,1818,Stevenson Archer,AS0013,Republican,A03,2198,172,-2026,0.92
md.uscongress6.1818,1818,Stevenson Archer,AS0013,Republican,A03,2198,181,-2017,0.92
md.uscongress6.1818,1818,Stevenson Archer,AS0013,Republican,A03,2198,184,-2014,0.92
md.uscongress2.1818,1818,Joseph Kent,KJ0034,Republican,A03,1475,64,-1411,0.96
md.uscongress2.1818,1818,Joseph Kent,KJ0034,Republican,A03,1475,125,-1350,0.92
md.uscongress2.1818,1818,Joseph Kent,KJ0034,Republican,A03,1475,128,-1347,0.91
md.uscongress2.1818,1818,Joseph Kent,KJ0034,Republican,A03,1475,153,-1322,0.9
md.uscongress2.1818,1818,Joseph Kent,KJ0034,Republican,A03,1475,206,-1269,0.86
