election_id,election_year,candidate,name_id,affiliation,affiliation_id,county_vote,district_vote,difference_vote,difference_percentage
me.uscongress3.fourth.1825,1825,Abraham Hammatt,HA0054,null,null,12,12,0,0.0
me.uscongress3.fourth.1825,1825,Albert Smith,SA0006,null,null,580,580,0,0.0
me.uscongress3.fourth.1825,1825,Benjamin Riggs,RB0004,null,null,1,1,0,0.0
me.uscongress3.fourth.1825,1825,Daniel Quinnan,QD0000,null,null,1,1,0,0.0
me.uscongress3.fourth.1825,1825,Daniel Rose,RD0021,null,null,394,394,0,0.0
me.uscongress3.fourth.1825,1825,Ebenezer Delano,DE0008,null,null,1,1,0,0.0
me.uscongress3.fourth.1825,1825,Ebenezer Herrick,HE0005,Republican,A03,1245,1245,0,0.0
me.uscongress3.fourth.1825,1825,George Jewitt,JG0014,null,null,1,1,0,0.0
me.uscongress3.fourth.1825,1825,Joel Miller,MJ0049,null,null,1,1,0,0.0
me.uscongress3.fourth.1825,1825,Jonathan Frank,FJ0026,null,null,1,1,0,0.0
me.uscongress3.fourth.1825,1825,Jonathan Hyde,HJ0021,null,null,2,2,0,0.0
me.uscongress3.fourth.1825,1825,Moses Baker,BM0005,null,null,1,1,0,0.0
me.uscongress3.fourth.1825,1825,Nathaniel Greene,GN0010,null,null,1,1,0,0.0
me.uscongress3.fourth.1825,1825,Samuel Woodward,WS0018,null,null,1,1,0,0.0
me.uscongress3.fourth.1825,1825,William Battie,BW0016,null,null,1,1,0,0.0
me.uscongress3.fourth.1825,1825,William Harmon,HW0016,null,null,1,1,0,0.0
me.uscongress3.fourth.1825,1825,William M. Boyd,BW0011,null,null,1,1,0,0.0
me.uscongress3.second.1825,1825,Albert Smith,SA0006,null,null,535,535,0,0.0
me.uscongress3.second.1825,1825,Charles R. Partins,PC0013,null,null,1,1,0,0.0
me.uscongress3.second.1825,1825,Daniel Rose,RD0021,null,null,1,1,0,0.0
me.uscongress3.second.1825,1825,E. J. Ford,FE0005,null,null,1,1,0,0.0
