election_id,election_year,candidate,name_id,affiliation,affiliation_id,county_vote,district_vote,difference_vote,difference_percentage
nh.uscongress.1808,1808,William Hale,HW0187,Federalist,A01,15147,NA,-15147,1.0
nh.uscongress.1808,1808,Nathaniel Haven,HN0031,Federalist,A01,15138,NA,-15138,1.0
nh.uscongress.1808,1808,Daniel Blaisdell,BD0070,Federalist,A01,15089,NA,-15089,1.0
nh.uscongress.1808,1808,John C. Chamberlain,CJ0119,Federalist,A01,15089,NA,-15089,1.0
nh.uscongress.1808,1808,James Wilson,WJ0328,Federalist,A01,15044,NA,-15044,1.0
nh.uscongress.1808,1808,Francis Gardner,GF0006,Republican,A03,12436,NA,-12436,1.0
nh.uscongress.1808,1808,Charles Cutts,CC0034,Republican,A03,12414,NA,-12414,1.0
nh.uscongress.1808,1808,Jedediah K. Smith,SJ0517,Republican,A03,12383,NA,-12383,1.0
nh.uscongress.1808,1808,Daniel M. Durrell,DD0071,Republican,A03,12363,NA,-12363,1.0
nh.uscongress.1808,1808,Clement Storer,SC0058,Republican,A03,12270,NA,-12270,1.0
nh.uscongress.1808,1808,Obed Hall,HO0010,Republican,A03,151,NA,-151,1.0
nh.uscongress.1808,1808,Samuel Smith,SS0149,Federalist,A01,30,NA,-30,1.0
nh.uscongress.1808,1808,Samuel Bell,BS0136,null,null,17,NA,-17,1.0
nh.uscongress.1808,1808,James Chamberlain,CJ0897,null,null,11,NA,-11,1.0
nh.uscongress.1808,1808,Clifton Claggett,CC0033,null,null,8,NA,-8,1.0
nh.uscongress.1808,1808,John Fairfield,FJ0433,null,null,8,NA,-8,1.0
nh.uscongress.1808,1808,David M. Durell,DD0058,null,null,7,NA,-7,1.0
nh.uscongress.1808,1808,Jonathan Franklin,FJ0149,null,null,7,NA,-7,1.0
nh.uscongress.1808,1808,Jonathan Steele,SJ0926,null,null,7,NA,-7,1.0
nh.uscongress.1808,1808,Joseph Badger,BJ0563,null,null,7,NA,-7,1.0
nh.uscongress.1808,1808,Richard Evans,ER0035,null,null,7,NA,-7,1.0
nh.uscongress.1808,1808,Thomas W. Thompson,TT0048,Federalist,A01,7,NA,-7,1.0
nh.uscongress.1808,1808,Nathaniel Hall,HN0082,null,null,6,NA,-6,1.0
nh.uscongress.1808,1808,Caleb Ellis,EC0005,null,null,5,NA,-5,1.0
nh.uscongress.1808,1808,George Aldrich,AG0038,null,null,5,NA,-5,1.0
nh.uscongress.1808,1808,Nathaniel Upham,UN0000,null,null,5,NA,-5,1.0
nh.uscongress.1808,1808,Jesse Johnson,JJ0106,null,null,4,NA,-4,1.0
nh.uscongress.1808,1808,Timothy Farrar,FT0030,Federalist,A01,4,NA,-4,1.0
nh.uscongress.1808,1808,John Goddard,GJ0185,null,null,3,NA,-3,1.0
