election_id,election_year,candidate,name_id,affiliation,affiliation_id,county_vote,district_vote,difference_vote,difference_percentage
pa.uscongress3.1808,1808,John Whitehill,WJ0661,Republican,A03,10216,185,-10031,0.98
pa.uscongress3.1808,1808,Roger Davis,DR0049,Republican,A03,10161,187,-9974,0.98
pa.uscongress3.1808,1808,Matthias Richards,RM0041,Federalist,A01,10652,715,-9937,0.93
pa.uscongress3.1808,1808,William Whitman,WW0223,Republican,A03,10121,187,-9934,0.98
pa.uscongress3.1808,1808,Daniel Heister,HD0091,Federalist,A01,10625,713,-9912,0.93
pa.uscongress3.1808,1808,Robert Jenkins,JR0043,Federalist,A01,10524,715,-9809,0.93
pa.uscongress2.1808,1808,John Ross,RJ0312,Federalist,A01,9167,75,-9092,0.99
pa.uscongress2.1808,1808,Robert Brown,BR0106,Republican,A03,9218,199,-9019,0.98
pa.uscongress2.1808,1808,William Milnor,MW0326,Federalist,A01,9095,76,-9019,0.99
pa.uscongress2.1808,1808,John Ross,RJ0312,Federalist,A01,9167,223,-8944,0.98
pa.uscongress2.1808,1808,John Pugh,PJ0443,Republican,A03,9090,203,-8887,0.98
pa.uscongress2.1808,1808,Rosewell Welles,WR0143,Federalist,A01,8941,71,-8870,0.99
pa.uscongress2.1808,1808,William Milnor,MW0326,Federalist,A01,9095,230,-8865,0.97
pa.uscongress2.1808,1808,John Ross,RJ0312,Federalist,A01,9167,337,-8830,0.96
pa.uscongress2.1808,1808,John Hahn,HJ1003,Republican,A03,9026,198,-8828,0.98
pa.uscongress2.1808,1808,Robert Brown,BR0106,Republican,A03,9218,406,-8812,0.96
pa.uscongress2.1808,1808,William Milnor,MW0326,Federalist,A01,9095,343,-8752,0.96
pa.uscongress2.1808,1808,Robert Brown,BR0106,Republican,A03,9218,476,-8742,0.95
pa.uscongress4.1808,1808,Robert Whitehill,WR0153,Republican,A03,8807,72,-8735,0.99
pa.uscongress4.1808,1808,Robert Whitehill,WR0153,Republican,A03,8807,81,-8726,0.99
pa.uscongress2.1808,1808,Rosewell Welles,WR0143,Federalist,A01,8941,218,-8723,0.98
pa.uscongress4.1808,1808,David Baird,BD0120,Republican,A03,8774,72,-8702,0.99
pa.uscongress4.1808,1808,David Baird,BD0120,Republican,A03,8774,81,-8693,0.99
pa.uscongress2.1808,1808,John Pugh,PJ0443,Republican,A03,9090,412,-8678,0.95
pa.uscongress2.1808,1808,John Ross,RJ0312,Federalist,A01,9167,489,-8678,0.95
pa.uscongress2.1808,1808,Robert Brown,BR0106,Republican,A03,9218,593,-8625,0.94
pa.uscongress2.1808,1808,John Pugh,PJ0443,Republican,A03,9090,471,-8619,0.95
pa.uscongress2.1808,1808,John Hahn,HJ1003,Republican,A03,9026,417,-8609,0.95
pa.uscongress2.1808,1808,William Milnor,MW0326,Federalist,A01,9095,488,-8607,0.95
pa.uscongress2.1808,1808,Rosewell Welles,WR0143,Federalist,A01,8941,341,-8600,0.96
pa.uscongress4.1808,1808,Robert Whitehill,WR0153,Republican,A03,8807,211,-8596,0.98
pa.uscongress4.1808,1808,Robert Whitehill,WR0153,Republican,A03,8807,232,-8575,0.97
pa.uscongress4.1808,1808,David Baird,BD0120,Republican,A03,8774,212,-8562,0.98
pa.uscongress2.1808,1808,John Hahn,HJ1003,Republican,A03,9026,471,-8555,0.95
pa.uscongress4.1808,1808,David Baird,BD0120,Republican,A03,8774,232,-8542,0.97
pa.uscongress4.1808,1808,Robert Whitehill,WR0153,Republican,A03,8807,273,-8534,0.97
pa.uscongress2.1808,1808,John Pugh,PJ0443,Republican,A03,9090,584,-8506,0.94
pa.uscongress4.1808,1808,David Baird,BD0120,Republican,A03,8774,273,-8501,0.97
pa.uscongress4.1808,1808,Robert Whitehill,WR0153,Republican,A03,8807,338,-8469,0.96
pa.uscongress2.1808,1808,Rosewell Welles,WR0143,Federalist,A01,8941,479,-8462,0.95
pa.uscongress4.1808,1808,Robert Whitehill,WR0153,Republican,A03,8807,353,-8454,0.96
pa.uscongress2.1808,1808,John Hahn,HJ1003,Republican,A03,9026,584,-8442,0.94
pa.uscongress4.1808,1808,David Baird,BD0120,Republican,A03,8774,336,-8438,0.96
pa.uscongress4.1808,1808,David Baird,BD0120,Republican,A03,8774,350,-8424,0.96
pa.uscongress4.1808,1808,Robert Whitehill,WR0153,Republican,A03,8807,491,-8316,0.94
pa.uscongress4.1808,1808,David Baird,BD0120,Republican,A03,8774,490,-8284,0.94
pa.uscongress4.1808,1808,Robert Whitehill,WR0153,Republican,A03,8807,662,-8145,0.92
pa.uscongress4.1808,1808,David Baird,BD0120,Republican,A03,8774,665,-8109,0.92
pa.uscongress11.1808,1808,Samuel Smith,SS0274,Republican,A03,6206,360,-5846,0.94
pa.uscongress6.1808,1808,William Crawford,CW0246,Republican,A03,3506,72,-3434,0.98
pa.uscongress6.1808,1808,William Crawford,CW0246,Republican,A03,3506,113,-3393,0.97
pa.uscongress6.1808,1808,William Crawford,CW0246,Republican,A03,3506,132,-3374,0.96
pa.uscongress6.1808,1808,William Crawford,CW0246,Republican,A03,3506,168,-3338,0.95
pa.uscongress6.1808,1808,William Crawford,CW0246,Republican,A03,3506,205,-3301,0.94
pa.uscongress4.1808,1808,John Glonninger,GJ0371,Federalist,A01,3231,23,-3208,0.99
pa.uscongress4.1808,1808,John Glonninger,GJ0371,Federalist,A01,3231,62,-3169,0.98
pa.uscongress4.1808,1808,John Glonninger,GJ0371,Federalist,A01,3231,69,-3162,0.98
pa.uscongress4.1808,1808,"William Alexander, Sr.",AW0097,Federalist,A01,3165,23,-3142,0.99
pa.uscongress6.1808,1808,William Crawford,CW0246,Republican,A03,3506,365,-3141,0.9
pa.uscongress4.1808,1808,John Glonninger,GJ0371,Federalist,A01,3231,109,-3122,0.97
pa.uscongress4.1808,1808,John Glonninger,GJ0371,Federalist,A01,3231,114,-3117,0.96
pa.uscongress4.1808,1808,John Glonninger,GJ0371,Federalist,A01,3231,118,-3113,0.96
pa.uscongress4.1808,1808,"William Alexander, Sr.",AW0097,Federalist,A01,3165,63,-3102,0.98
pa.uscongress4.1808,1808,John Glonninger,GJ0371,Federalist,A01,3231,131,-3100,0.96
pa.uscongress4.1808,1808,"William Alexander, Sr.",AW0097,Federalist,A01,3165,69,-3096,0.98
pa.uscongress4.1808,1808,"William Alexander, Sr.",AW0097,Federalist,A01,3165,111,-3054,0.96
pa.uscongress4.1808,1808,"William Alexander, Sr.",AW0097,Federalist,A01,3165,114,-3051,0.96
pa.uscongress4.1808,1808,"William Alexander, Sr.",AW0097,Federalist,A01,3165,118,-3047,0.96
pa.uscongress4.1808,1808,John Glonninger,GJ0371,Federalist,A01,3231,185,-3046,0.94
pa.uscongress4.1808,1808,"William Alexander, Sr.",AW0097,Federalist,A01,3165,129,-3036,0.96
pa.uscongress6.1808,1808,James Kelly,KJ0173,Federalist,A01,3188,159,-3029,0.95
pa.uscongress6.1808,1808,James Kelly,KJ0173,Federalist,A01,3188,180,-3008,0.94
pa.uscongress6.1808,1808,James Kelly,KJ0173,Federalist,A01,3188,181,-3007,0.94
pa.uscongress4.1808,1808,"William Alexander, Sr.",AW0097,Federalist,A01,3165,185,-2980,0.94
pa.uscongress1.1808,1808,Benjamin Say,SB0099,Republican,A03,4655,7598,2943,0.39
