election_id,election_year,candidate,name_id,affiliation,affiliation_id,county_vote,district_vote,difference_vote,difference_percentage
va.uscongress.1.1790,1790,Alexander White,WA0166,null,null,0,999,999,1.0
va.uscongress.6.1790,1790,Abraham B. Venable,VA0029,null,null,345,NA,-345,1.0
va.uscongress.8.1790,1790,Josiah Parker,PJ0725,null,null,293,NA,-293,1.0
va.uscongress.7.1790,1790,Meriwether Smith,SM0119,null,null,170,NA,-170,1.0
va.uscongress.5.1790,1790,James Madison,MJ1315,null,null,133,NA,-133,1.0
va.uscongress.7.1790,1790,Francis Corbin,CF0032,null,null,98,NA,-98,1.0
va.uscongress.8.1790,1790,Isaac Avery,AI0028,null,null,92,NA,-92,1.0
va.uscongress.1.1790,1790,J.P. Duval,DJ0577,null,null,0,65,65,1.0
va.uscongress.6.1790,1790,Charles Lintch,LC0069,null,null,27,NA,-27,1.0
va.uscongress.7.1790,1790,John Page,PJ0728,null,null,25,NA,-25,1.0
va.uscongress.6.1790,1790,Charles Clay,CC0130,null,null,14,NA,-14,1.0
va.uscongress.7.1790,1790,Henry Lee,LH0064,null,null,3,NA,-3,1.0
va.uscongress.5.1790,1790,James Monroe,MJ1316,null,null,2,NA,-2,1.0
va.uscongress.9.1790,1790,John Mason,MJ1314,null,null,2,NA,-2,1.0
va.uscongress.10.1790,1790,Samuel Griffin,GS0114,null,null,0,NA,0,NaN
va.uscongress.2.1790,1790,James M.  Marshall,MJ1328,null,null,0,NA,0,NaN
va.uscongress.2.1790,1790,John Brown,BJ0175,null,null,0,NA,0,NaN
va.uscongress.3.1790,1790,Andrew Moore,MA0281,null,null,0,NA,0,NaN
va.uscongress.4.1790,1790,Arthur Lee,LA0122,null,null,582,582,0,0.0
va.uscongress.4.1790,1790,Richard Bland Lee,LR0090,null,null,954,954,0,0.0
va.uscongress.9.1790,1790,Thomas Edmonds,ET0047,null,null,1435,1435,0,0.0
va.uscongress.9.1790,1790,William B. Giles,GW0186,null,null,2097,2097,0,0.0
