candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Autauga,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Gabriel Moore,MG0000,null,null,111
2,Autauga,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,George W. Owen,OG0000,null,null,400
3,Autauga,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Silas Dinsmoor,DS0001,null,null,2
4,Autauga,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Elizah Montgomery,ME0002,null,null,NA
1,Baldwin,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Gabriel Moore,MG0000,null,null,27
2,Baldwin,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,George W. Owen,OG0000,null,null,159
3,Baldwin,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Silas Dinsmoor,DS0001,null,null,1
4,Baldwin,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Elizah Montgomery,ME0002,null,null,1
1,Bibb,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Gabriel Moore,MG0000,null,null,282
2,Bibb,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,George W. Owen,OG0000,null,null,222
3,Bibb,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Silas Dinsmoor,DS0001,null,null,NA
4,Bibb,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Elizah Montgomery,ME0002,null,null,NA
1,Blount,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Gabriel Moore,MG0000,null,null,603
2,Blount,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,George W. Owen,OG0000,null,null,378
3,Blount,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Silas Dinsmoor,DS0001,null,null,38
4,Blount,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Elizah Montgomery,ME0002,null,null,NA
1,Clarke,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Gabriel Moore,MG0000,null,null,402
2,Clarke,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,George W. Owen,OG0000,null,null,205
3,Clarke,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Silas Dinsmoor,DS0001,null,null,23
4,Clarke,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Elizah Montgomery,ME0002,null,null,NA
1,Conecuh,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Gabriel Moore,MG0000,null,null,31
2,Conecuh,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,George W. Owen,OG0000,null,null,593
3,Conecuh,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Silas Dinsmoor,DS0001,null,null,16
4,Conecuh,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Elizah Montgomery,ME0002,null,null,NA
1,Dallas,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Gabriel Moore,MG0000,null,null,242
2,Dallas,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,George W. Owen,OG0000,null,null,586
3,Dallas,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Silas Dinsmoor,DS0001,null,null,3
4,Dallas,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Elizah Montgomery,ME0002,null,null,NA
1,Franklin,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Gabriel Moore,MG0000,null,null,438
2,Franklin,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,George W. Owen,OG0000,null,null,117
3,Franklin,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Silas Dinsmoor,DS0001,null,null,2
4,Franklin,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Elizah Montgomery,ME0002,null,null,NA
1,Greene,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Gabriel Moore,MG0000,null,null,328
2,Greene,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,George W. Owen,OG0000,null,null,106
3,Greene,al.congress.1821,1821,1821,General,Alabama 1821 U.S. House of Representatives,U.S. House of Representatives,ON125,Silas Dinsmoor,DS0001,null,null,23
