candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,James Stevens,SJ0029,supported by both parties,A10,363
2,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Jonathan Moseley,MJ0022,Republican,A03,240
3,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Gideon Tomlinson,TG0001,Republican,A03,540
4,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Elisha Phelps,PE0012,Republican,A03,353
5,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,John Russ,RJ0004,Republican,A03,330
6,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Henry W. Edwards,EH0001,Republican,A03,277
7,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Seth A. Foot,FS0000,Republican,A03,238
8,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,David Bolles,BD0003,Republican,A03,95
9,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Ralph Ingersoll,IR0000,Republican,A03,366
10,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Noyes Barber,BN0014,Republican,A03,95
11,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Manwarring,MC0000,Republican,A03,45
12,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Orange Merwin,MO0000,Republican,A03,133
13,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,John T. Peters,PJ0003,Republican,A03,55
14,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Calvin Willey,WC0000,Republican,A03,62
15,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Elisha Tracy,TE0007,Republican,A03,183
16,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Seth P. Beers,BS0029,Republican,A03,163
17,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Ansel Sterling,SA0013,Republican,A03,9
18,Fairfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Simeon Miner,MS0007,Republican,A03,49
1,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,James Stevens,SJ0029,supported by both parties,A10,1053
2,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Jonathan Moseley,MJ0022,Republican,A03,699
3,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Gideon Tomlinson,TG0001,Republican,A03,600
4,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Elisha Phelps,PE0012,Republican,A03,998
5,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,John Russ,RJ0004,Republican,A03,933
6,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Henry W. Edwards,EH0001,Republican,A03,997
7,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Seth A. Foot,FS0000,Republican,A03,555
8,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,David Bolles,BD0003,Republican,A03,767
9,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Ralph Ingersoll,IR0000,Republican,A03,617
10,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Noyes Barber,BN0014,Republican,A03,494
11,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Manwarring,MC0000,Republican,A03,288
12,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Orange Merwin,MO0000,Republican,A03,649
13,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,John T. Peters,PJ0003,Republican,A03,275
14,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Calvin Willey,WC0000,Republican,A03,465
15,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Elisha Tracy,TE0007,Republican,A03,394
16,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Seth P. Beers,BS0029,Republican,A03,236
17,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Ansel Sterling,SA0013,Republican,A03,153
18,Hartford,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Simeon Miner,MS0007,Republican,A03,36
1,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,James Stevens,SJ0029,supported by both parties,A10,490
2,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Jonathan Moseley,MJ0022,Republican,A03,846
3,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Gideon Tomlinson,TG0001,Republican,A03,551
4,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Elisha Phelps,PE0012,Republican,A03,472
5,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,John Russ,RJ0004,Republican,A03,271
6,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Henry W. Edwards,EH0001,Republican,A03,368
7,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Seth A. Foot,FS0000,Republican,A03,411
8,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,David Bolles,BD0003,Republican,A03,144
9,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Ralph Ingersoll,IR0000,Republican,A03,263
10,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Noyes Barber,BN0014,Republican,A03,84
11,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Manwarring,MC0000,Republican,A03,224
12,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Orange Merwin,MO0000,Republican,A03,364
13,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,John T. Peters,PJ0003,Republican,A03,317
14,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Calvin Willey,WC0000,Republican,A03,113
15,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Elisha Tracy,TE0007,Republican,A03,101
16,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Seth P. Beers,BS0029,Republican,A03,414
17,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Ansel Sterling,SA0013,Republican,A03,183
18,Litchfield,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Simeon Miner,MS0007,Republican,A03,52
1,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,James Stevens,SJ0029,supported by both parties,A10,216
2,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Jonathan Moseley,MJ0022,Republican,A03,546
3,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Gideon Tomlinson,TG0001,Republican,A03,202
4,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Elisha Phelps,PE0012,Republican,A03,179
5,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,John Russ,RJ0004,Republican,A03,181
6,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Henry W. Edwards,EH0001,Republican,A03,181
7,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Seth A. Foot,FS0000,Republican,A03,232
8,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,David Bolles,BD0003,Republican,A03,152
9,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Ralph Ingersoll,IR0000,Republican,A03,133
10,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Noyes Barber,BN0014,Republican,A03,138
11,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Manwarring,MC0000,Republican,A03,118
12,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Orange Merwin,MO0000,Republican,A03,95
13,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,John T. Peters,PJ0003,Republican,A03,240
14,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Calvin Willey,WC0000,Republican,A03,47
15,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Elisha Tracy,TE0007,Republican,A03,90
16,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Seth P. Beers,BS0029,Republican,A03,122
17,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Ansel Sterling,SA0013,Republican,A03,8
18,Middlesex,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Simeon Miner,MS0007,Republican,A03,NA
1,New Haven,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,James Stevens,SJ0029,supported by both parties,A10,521
2,New Haven,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Jonathan Moseley,MJ0022,Republican,A03,800
3,New Haven,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Gideon Tomlinson,TG0001,Republican,A03,828
4,New Haven,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Elisha Phelps,PE0012,Republican,A03,567
5,New Haven,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,John Russ,RJ0004,Republican,A03,580
6,New Haven,ct.congress.1818,1818-09,1818,General,Connecticut 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Henry W. Edwards,EH0001,Republican,A03,471
