election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Chauncey Goodrich,GC0000,Federalist,A01,1,4600
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Nathaniel Smith,SN0000,null,null,2,4597
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Samuel W. Dana,DS0003,null,null,3,4500
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,John Allen,AJ0006,null,null,4,4387
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,William Edmund,EW0001,null,null,5,4305
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Roger Griswold,GR0000,null,null,6,3659
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Stephen T. Hosmer,HS0006,null,null,7,3658
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Jonathan Brace,BJ0019,null,null,8,3574
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Joshua Coit,CJ0025,null,null,9,3083
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,"John Davenport, Jr.",DJ0022,null,null,10,3042
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Elizur Goodrich,GE0001,null,null,11,2596
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,"Timothy Pitkin, Jr.",PT0001,null,null,12,2310
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,John Treadwell,TJ0009,null,null,13,2213
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Elias Perkins,PE0001,null,null,14,2181
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,John C. Smith,SJ0013,null,null,15,2176
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Benjamin Talmadge,TB0015,null,null,16,1729
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Simeon Baldwin,BS0001,null,null,17,1671
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Calvin Goddard,GC0005,null,null,18,1644
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,William Moseley,MW0006,null,null,19,1377
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Sylvester Gilbert,GS0003,null,null,20,1305
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Samuel W. Johnson,JS0000,null,null,21,1217
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Jonathan O. Mosely,MJ0022,null,null,22,1164
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,William Hart,HW0015,Republican,A03,23,1151
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,"Gideon Granger, Jr.",GG0000,Republican,A03,24,1017
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Marvin Wait,WM0004,null,null,25,968
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Epaphroditus Champion,CE0020,null,null,26,954
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Heman Swift,SH0002,null,null,27,917
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Ephraim Kirby,KE0001,Republican,A03,28,811
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Asa Spaulding,SA0001,Republican,A03,29,720
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Henry Champion,CH0010,null,null,30,688
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Aaron Austin,AA0045,null,null,31,636
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,David Daggett,DD0000,null,null,32,609
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Jeremiah G. Brainard,BJ0034,null,null,33,577
ct.nomination.congress.1798,1798,1798,General,"Connecticut 1798 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Tapping Reeve,RT0001,null,null,34,554
