election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Lewis B. Sturges,SL0001,Federalist,A01,1,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Epaphroditus Champion,CE0020,Federalist,A01,2,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Ebenezer Huntingdon,HE0008,Federalist,A01,3,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Lyman Law,LL0001,Federalist,A01,4,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Jonathan O. Moseley,MJ0022,Federalist,A01,5,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Benjamin Talmadge,TB0015,Federalist,A01,6,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Samuel B. Sherwood,SS0000,Federalist,A01,7,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Nathaniel Terry,TN0001,Federalist,A01,8,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,John Caldwell,CJ0040,Federalist,A01,9,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Sylvester Gilbert,GS0003,Federalist,A01,10,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Samuel W. Dana,DS0003,Federalist,A01,11,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Sylvanus Backus,BS0014,Federalist,A01,12,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,"John Davenport, Jr.",DJ0022,Federalist,A01,13,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,"Timothy Pitkin, Jr.",PT0001,Federalist,A01,14,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Nathan Smith,SN0016,Federalist,A01,15,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,"Uriel Holmes, Jr.",HU0000,Federalist,A01,16,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,"Asa Bacon, Jr.",BA0002,Federalist,A01,17,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,"Noah Webster, Jr.",WN0000,Federalist,A01,18,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,William Law,LW0005,Republican,A03,19,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Amos Palmer,PA0001,Republican,A03,20,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Charles Fanning,FC0000,Republican,A03,21,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,"Andrew Hull, Jr.",HA0003,Republican,A03,22,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Sylvester Wells,WS0011,Republican,A03,23,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Agur Judson,JA0000,Republican,A03,24,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Hezekiah Huntingdon,HH0001,Republican,A03,25,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Joshua Stow,SJ0024,Republican,A03,26,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Elisha Phelps,PE0012,Republican,A03,27,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,William Hawley,HW0032,Republican,A03,28,NA,NA
ct.uscongress.1808,1808,1808,General,"Connecticut 1808 U.S. House of Representatives, Nomination",U.S. House of Representatives,ON125,Robert Fairchild,FR0000,Republican,A03,29,NA,NA
