candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Gideon Tomlinson,TG0001,Republican,null,526
2,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Ebenezer Stoddard,SE0220,Republican,null,512
3,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Ansel Sterling,SA0013,Republican,null,515
4,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Lemuel Whitman,WL0000,Republican,null,423
5,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Noyes Barber,BN0014,Republican,null,354
6,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel A. Foote,FS0001,Republican,null,267
7,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Henry W. Edwards,EH0001,Republican,null,236
8,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Daniel Burrows,BD0248,Republican,null,164
9,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,John Russ,RJ0004,Republican,null,14
10,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Lyman Law,LL0001,Federalist,null,NA
11,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Timothy Pitkin,PT0001,Federalist,null,NA
12,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas S. Williams,WT0003,Federalist,null,NA
13,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Asa Bacon,BA0002,Federalist,null,NA
14,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Charles Dixon,DC0082,null,null,NA
15,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Joseph Caton,CJ1107,null,null,NA
16,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Roger M. Sherman,SR0005,Federalist,null,NA
17,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,William T. Williams,WW0015,Federalist,null,NA
18,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Elisha Phelps,PE0012,Republican,null,NA
19,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Ralph I. Ingersoll,IR0000,Republican,null,NA
20,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,unknown,null,null,null,NA
21,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Asa Willey,WA0004,Federalist,null,NA
22,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Jonathan W. Edwards,EJ0007,Federalist,null,NA
23,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Whitman,WS0250,null,null,29
24,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel B. Sherwood,SS0000,Federalist,null,NA
25,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Seth P. Beers,BS0029,Republican,null,NA
26,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Calvin Goddard,GC0005,Federalist,null,NA
27,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Noah B. Benedict,BN0004,Federalist,null,NA
28,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,James Gabil,GJ0624,null,null,NA
29,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Nathaniel Griffin,GN0055,Federalist,null,NA
30,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,William Lord,LW0220,Federalist,null,NA
31,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Seth P. Staples,SS0021,Federalist,null,NA
32,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Lewis B. Sturges,SL0001,Federalist,null,NA
33,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Erastus Lyman,LE0108,Federalist,null,NA
34,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Calvin Willey,WC0000,Republican,null,NA
35,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Henry Strong,SH0167,null,null,NA
36,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Elisha Haley,HE0203,Republican,null,NA
37,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Sylvester Wells,WS0011,null,null,NA
38,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,William P. Cleveland,CW0390,null,null,NA
39,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Zephaniah Swift,SZ0000,Federalist,null,NA
40,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,John Hall,HJ0022,Federalist,null,NA
41,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,William F. Brainard,BW0436,null,null,NA
42,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Elisha Sterling,SE0001,Federalist,null,NA
43,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Epaphroditus Champion,CE0020,Federalist,null,NA
44,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Henry Sterling,SH0151,null,null,NA
45,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,William Hungerford,HW0332,Federalist,null,NA
46,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,David Daggett,DD0000,Federalist,null,NA
47,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Uriel Holmes,HU0000,Federalist,null,NA
48,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,George Larned,LG0089,Federalist,null,NA
49,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Pitkin,PS0234,Federalist,null,NA
50,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,William W. Ellsworth,EW0092,null,null,NA
51,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Jacob B. Gurley,GJ0012,Federalist,null,NA
52,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Ebenezer Learned,LE0109,null,null,NA
53,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Orange Merwin,MO0000,Republican,null,NA
54,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,John S. Peters,PJ0016,Republican,null,NA
55,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Nathan Smith,SN0016,Federalist,null,NA
56,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Nathaniel Terry,TN0001,Federalist,null,NA
57,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,David Tomlinson,TD0009,Republican,null,NA
58,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,John W. Huntington,HJ1285,null,null,NA
59,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Frederick Wolcott,WF0018,Republican,null,NA
60,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Rufus Adams,AR0068,Republican,null,NA
61,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Sherman Boardman,BS0324,null,null,NA
62,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Enoch Burrows,BE0023,Republican,null,NA
63,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Burrows,BS0295,null,null,NA
64,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Calvin Butler,BC0193,Federalist,null,NA
65,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Henry Edwards,EH0027,Republican,null,NA
66,Fairfield,ct.uscongress.1823,1823,1823,General,Connecticut 1823 U.S. House of Representatives,U.S. House of Representatives,ON125,Ebenezer Goddard,GE0082,null,null,NA
