election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Caesar A. Rodney,RC0001,Republican,A03,1,4029
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Louis MacLane,ML0002,Federalist,A01,2,3918
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Willard Hall,HW0048,Republican,A03,3,3525
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,John Mitchell,MJ0047,Federalist,A01,4,3500
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,William Poole,PW0016,null,null,5,14
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,David Houston,HD0013,null,null,6,7
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Caleb Kirk,KC0001,null,null,7,2
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel H. Black,BS0038,null,null,8,1
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,James Canby,CJ0099,null,null,9,1
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Clayton,CT0005,Federalist,A01,10,1
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Mendenhall,MT0163,null,null,11,1
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,J. Rice,RJ0684,null,null,12,1
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Richardson,RT0127,null,null,13,1
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,G. Willard,WG0137,null,null,14,1
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,William Wood,WW0292,null,null,15,1
de.uscongress.1820,1820,1820,General,Delaware 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Joshua Wollaston,WJ0824,null,null,16,1
