candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Kent,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Louis MacLane,ML0002,Federalist,A01,1051
2,Kent,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Arnold Naudain,NA0005,Republican,A03,1096
3,Kent,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Allen MacLane,MA0235,null,null,NA
4,Kent,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,John Torbert,TJ0492,null,null,NA
5,Kent,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Henry Baly,BH0194,null,null,NA
6,Kent,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,John Clark,CJ0108,null,null,NA
7,Kent,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,James Derickson,DJ0042,Republican,A03,NA
8,Kent,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Joseph Haslet,HJ0024,null,null,NA
9,Kent,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Daniel Rodney,RD0004,Federalist,A01,NA
10,Kent,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,James Rogers,RJ0009,null,null,NA
11,Kent,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Isaac Starr,SI0020,null,null,NA
1,New Castle,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Louis MacLane,ML0002,Federalist,A01,1023
2,New Castle,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Arnold Naudain,NA0005,Republican,A03,1393
3,New Castle,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Allen MacLane,MA0235,null,null,2
4,New Castle,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,John Torbert,TJ0492,null,null,2
5,New Castle,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Henry Baly,BH0194,null,null,1
6,New Castle,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,John Clark,CJ0108,null,null,1
7,New Castle,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,James Derickson,DJ0042,Republican,A03,1
8,New Castle,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Joseph Haslet,HJ0024,null,null,1
9,New Castle,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Daniel Rodney,RD0004,Federalist,A01,1
10,New Castle,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,James Rogers,RJ0009,null,null,1
11,New Castle,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Isaac Starr,SI0020,null,null,1
1,Sussex,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Louis MacLane,ML0002,Federalist,A01,2036
2,Sussex,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Arnold Naudain,NA0005,Republican,A03,977
3,Sussex,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Allen MacLane,MA0235,null,null,NA
4,Sussex,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,John Torbert,TJ0492,null,null,NA
5,Sussex,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Henry Baly,BH0194,null,null,NA
6,Sussex,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,John Clark,CJ0108,null,null,NA
7,Sussex,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,James Derickson,DJ0042,Republican,A03,NA
8,Sussex,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Joseph Haslet,HJ0024,null,null,NA
9,Sussex,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Daniel Rodney,RD0004,Federalist,A01,NA
10,Sussex,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,James Rogers,RJ0009,null,null,NA
11,Sussex,de.uscongress.1822,1822-10,1822,General,Delaware 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Isaac Starr,SI0020,null,null,NA
