election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,William Terrell,TW0005,null,null,1,10961
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,Joel Crawford,CJ0122,null,null,2,10569
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,Joel Abbot,AJ0029,null,null,3,9680
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,Zadock Cook,CZ0000,null,null,4,8470
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas W. Cobb,CT0041,null,null,5,8280
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,John Forsyth,FJ0021,null,null,6,7978
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,John M. Dooly,DJ0047,null,null,7,7322
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,Richard H. Wilde,WR0013,null,null,8,7072
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,Homer Virgil Milton,MH0021,null,null,9,6888
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,Wilson Lumpkin,LW0012,null,null,10,6870
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,Alfred Cuthbert,CA0020,null,null,11,6409
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,Allen Daniel,DA0004,null,null,12,6370
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Telfair,TT0002,null,null,13,2327
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,James Wood,WJ0077,null,null,14,1624
ga.uscongress.1816,1816-10,1816,General,Georgia 1816 U.S. House of Representatives,U.S. House of Representatives,ON125,Key,null,null,null,15,12
