candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Appling,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,John Forsyth,FJ0021,null,null,91
2,Appling,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Edward F. Tattnall,TE0021,null,null,100
3,Appling,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Joel Abbott,AJ0029,null,null,61
4,Appling,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Wiley Thompson,TW0008,null,null,73
5,Appling,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas W. Cobb,CT0041,null,null,1
6,Appling,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,George Carey,CG0025,null,null,26
7,Appling,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Alfred Cuthbert,CA0020,null,null,79
8,Appling,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Glascock,GT0014,null,null,20
9,Appling,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Charles E. Haynes,HC0011,null,null,NA
10,Appling,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,John R. Golding,GJ0041,null,null,80
1,Baldwin,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,John Forsyth,FJ0021,null,null,523
2,Baldwin,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Edward F. Tattnall,TE0021,null,null,505
3,Baldwin,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Joel Abbott,AJ0029,null,null,424
4,Baldwin,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Wiley Thompson,TW0008,null,null,364
5,Baldwin,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas W. Cobb,CT0041,null,null,504
6,Baldwin,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,George Carey,CG0025,null,null,438
7,Baldwin,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Alfred Cuthbert,CA0020,null,null,379
8,Baldwin,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Glascock,GT0014,null,null,178
9,Baldwin,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Charles E. Haynes,HC0011,null,null,198
10,Baldwin,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,John R. Golding,GJ0041,null,null,64
1,Bulloch,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,John Forsyth,FJ0021,null,null,137
2,Bulloch,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Edward F. Tattnall,TE0021,null,null,178
3,Bulloch,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Joel Abbott,AJ0029,null,null,118
4,Bulloch,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Wiley Thompson,TW0008,null,null,132
5,Bulloch,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas W. Cobb,CT0041,null,null,NA
6,Bulloch,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,George Carey,CG0025,null,null,17
7,Bulloch,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Alfred Cuthbert,CA0020,null,null,180
8,Bulloch,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Glascock,GT0014,null,null,179
9,Bulloch,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Charles E. Haynes,HC0011,null,null,107
10,Bulloch,ga.uscongress.1822,1822-10,1822,General,Georgia 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,John R. Golding,GJ0041,null,null,24
