candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Burke,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,George Matthews,MG0009,null,null,133
2,Burke,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Henry Osborne,OH0000,null,null,NA
3,Burke,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Anthony Wayne,WA0009,null,null,NA
4,Burke,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Joseph Sumner,SJ0083,null,null,NA
5,Burke,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,scattering,null,null,null,NA
1,Chatham,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,George Matthews,MG0009,null,null,170
2,Chatham,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Henry Osborne,OH0000,null,null,1
3,Chatham,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Anthony Wayne,WA0009,null,null,NA
4,Chatham,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Joseph Sumner,SJ0083,null,null,3
5,Chatham,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,scattering,null,null,null,7
1,Effingham,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,George Matthews,MG0009,null,null,11
2,Effingham,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Henry Osborne,OH0000,null,null,NA
3,Effingham,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Anthony Wayne,WA0009,null,null,NA
4,Effingham,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Joseph Sumner,SJ0083,null,null,NA
5,Effingham,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,scattering,null,null,null,NA
1,Glynn,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,George Matthews,MG0009,null,null,NA
2,Glynn,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Henry Osborne,OH0000,null,null,23
3,Glynn,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Anthony Wayne,WA0009,null,null,NA
4,Glynn,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Joseph Sumner,SJ0083,null,null,2
5,Glynn,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,scattering,null,null,null,NA
1,Greene,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,George Matthews,MG0009,null,null,110
2,Greene,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Henry Osborne,OH0000,null,null,NA
3,Greene,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Anthony Wayne,WA0009,null,null,8
4,Greene,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Joseph Sumner,SJ0083,null,null,NA
5,Greene,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,scattering,null,null,null,NA
1,Liberty,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,George Matthews,MG0009,null,null,82
2,Liberty,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Henry Osborne,OH0000,null,null,NA
3,Liberty,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Anthony Wayne,WA0009,null,null,NA
4,Liberty,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Joseph Sumner,SJ0083,null,null,NA
5,Liberty,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,scattering,null,null,null,NA
1,Richmond,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,George Matthews,MG0009,null,null,166
2,Richmond,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Henry Osborne,OH0000,null,null,NA
3,Richmond,ga.uscongress.upperdistrict.1789,1789,1789,General,"Georgia 1789 U.S. House of Representatives, Upper District",U.S. House of Representatives,ON125,Anthony Wayne,WA0009,null,null,NA
