candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Clark,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,William Hendricks,HW0072,null,null,1122
2,Clark,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Reuben W. Nelson,NR0022,null,null,40
3,Clark,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Waller Taylor,TW0011,null,null,NA
4,Clark,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,R. W. Noble,NR0021,null,null,NA
1,Daviess,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,William Hendricks,HW0072,null,null,328
2,Daviess,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Reuben W. Nelson,NR0022,null,null,NA
3,Daviess,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Waller Taylor,TW0011,null,null,NA
4,Daviess,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,R. W. Noble,NR0021,null,null,NA
1,Dearborn,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,William Hendricks,HW0072,null,null,903
2,Dearborn,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Reuben W. Nelson,NR0022,null,null,27
3,Dearborn,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Waller Taylor,TW0011,null,null,NA
4,Dearborn,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,R. W. Noble,NR0021,null,null,NA
1,Dubois,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,William Hendricks,HW0072,null,null,68
2,Dubois,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Reuben W. Nelson,NR0022,null,null,NA
3,Dubois,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Waller Taylor,TW0011,null,null,NA
4,Dubois,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,R. W. Noble,NR0021,null,null,NA
1,Franklin,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,William Hendricks,HW0072,null,null,1389
2,Franklin,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Reuben W. Nelson,NR0022,null,null,5
3,Franklin,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Waller Taylor,TW0011,null,null,NA
4,Franklin,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,R. W. Noble,NR0021,null,null,NA
1,Gibson,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,William Hendricks,HW0072,null,null,163
2,Gibson,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Reuben W. Nelson,NR0022,null,null,18
3,Gibson,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Waller Taylor,TW0011,null,null,NA
4,Gibson,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,R. W. Noble,NR0021,null,null,NA
1,Harrison,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,William Hendricks,HW0072,null,null,664
2,Harrison,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Reuben W. Nelson,NR0022,null,null,398
3,Harrison,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Waller Taylor,TW0011,null,null,NA
4,Harrison,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,R. W. Noble,NR0021,null,null,NA
1,Jackson,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,William Hendricks,HW0072,null,null,285
2,Jackson,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Reuben W. Nelson,NR0022,null,null,13
3,Jackson,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Waller Taylor,TW0011,null,null,NA
4,Jackson,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,R. W. Noble,NR0021,null,null,NA
1,Jefferson,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,William Hendricks,HW0072,null,null,741
2,Jefferson,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Reuben W. Nelson,NR0022,null,null,26
3,Jefferson,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Waller Taylor,TW0011,null,null,NA
4,Jefferson,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,R. W. Noble,NR0021,null,null,NA
1,Jennings,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,William Hendricks,HW0072,null,null,121
2,Jennings,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Reuben W. Nelson,NR0022,null,null,1
3,Jennings,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,Waller Taylor,TW0011,null,null,NA
4,Jennings,in.uscongress.1818,1818,1818,General,Indiana 1818 U.S. House of Representatives,U.S. House of Representatives,ON125,R. W. Noble,NR0021,null,null,NA
