candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Franklin,ky.uscongress6.1822,1822,1822,General,"Kentucky 1822 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,"David White, Jr.",WD0009,null,null,854
2,Franklin,ky.uscongress6.1822,1822,1822,General,"Kentucky 1822 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,John Logan,LJ0052,null,null,414
1,Gallatin,ky.uscongress6.1822,1822,1822,General,"Kentucky 1822 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,"David White, Jr.",WD0009,null,null,477
2,Gallatin,ky.uscongress6.1822,1822,1822,General,"Kentucky 1822 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,John Logan,LJ0052,null,null,281
1,Henry,ky.uscongress6.1822,1822,1822,General,"Kentucky 1822 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,"David White, Jr.",WD0009,null,null,1463
2,Henry,ky.uscongress6.1822,1822,1822,General,"Kentucky 1822 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,John Logan,LJ0052,null,null,196
1,Owen,ky.uscongress6.1822,1822,1822,General,"Kentucky 1822 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,"David White, Jr.",WD0009,null,null,354
2,Owen,ky.uscongress6.1822,1822,1822,General,"Kentucky 1822 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,John Logan,LJ0052,null,null,75
1,Shelby,ky.uscongress6.1822,1822,1822,General,"Kentucky 1822 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,"David White, Jr.",WD0009,null,null,428
2,Shelby,ky.uscongress6.1822,1822,1822,General,"Kentucky 1822 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,John Logan,LJ0052,null,null,1829
