election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
ma.uscongress.1.suffolk.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 1, Candidate from Suffolk County",U.S. House of Representatives,ON125,Fisher Ames,AF0004,Federalist,A01,1,1627
ma.uscongress.1.suffolk.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 1, Candidate from Suffolk County",U.S. House of Representatives,ON125,"Benjamin Austin, Jr.",AB0013,null,null,2,1028
ma.uscongress.1.suffolk.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 1, Candidate from Suffolk County",U.S. House of Representatives,ON125,John C. Jones,JJ0099,null,null,3,65
ma.uscongress.1.suffolk.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 1, Candidate from Suffolk County",U.S. House of Representatives,ON125,William Heath,HW0171,null,null,5,40
ma.uscongress.1.suffolk.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 1, Candidate from Suffolk County",U.S. House of Representatives,ON125,Charles Jarvis,JC0015,null,null,6,37
ma.uscongress.1.suffolk.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 1, Candidate from Suffolk County",U.S. House of Representatives,ON125,James Bowdoin,BJ0467,null,null,7,32
ma.uscongress.1.suffolk.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 1, Candidate from Suffolk County",U.S. House of Representatives,ON125,William Eustis,EW0031,null,null,8,23
ma.uscongress.1.suffolk.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 1, Candidate from Suffolk County",U.S. House of Representatives,ON125,Oliver Wendell,WO0023,null,null,9,20
ma.uscongress.1.suffolk.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 1, Candidate from Suffolk County",U.S. House of Representatives,ON125,John Lowell,LJ0103,Federalist,A01,10,19
ma.uscongress.1.suffolk.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 1, Candidate from Suffolk County",U.S. House of Representatives,ON125,Stephen Higginson,HS0074,Federalist,A01,11,6
ma.uscongress.1.suffolk.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 1, Candidate from Suffolk County",U.S. House of Representatives,ON125,Samuel Brown,BS0111,null,null,12,1
ma.uscongress.1.suffolk.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 1, Candidate from Suffolk County",U.S. House of Representatives,ON125,Thomas Davis,DT0096,null,null,13,1
ma.uscongress.1.suffolk.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 1, Candidate from Suffolk County",U.S. House of Representatives,ON125,Ebenezer Parsons,PE0031,null,null,14,1
