candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Berkshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Artemas Ward,WA0043,Federalist,A01,443
2,Berkshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Jonathan Grout,GJ0158,null,null,178
3,Berkshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Dwight Foster,FD0007,Federalist,A01,47
4,Berkshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Martin Kinsley,KM0013,null,null,14
5,Berkshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Nathaniel Paine,PN0020,null,null,NA
6,Berkshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Timothy Paine,PT0071,null,null,NA
7,Berkshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Moses Gill,GM0022,null,null,NA
8,Berkshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Daniel Bigelow,BD0045,null,null,NA
9,Berkshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Abel Wilder,WA0042,null,null,NA
10,Berkshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Elijah Brigham,BE0103,null,null,NA
11,Berkshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Josiah Stearns,SJ0359,null,null,NA
12,Berkshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Levi Lincoln,LL0038,null,null,NA
13,Berkshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Benjamin Grant,GB0023,null,null,NA
14,Berkshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Benjamin Haywood,HB0067,null,null,NA
1,Hampshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Artemas Ward,WA0043,Federalist,A01,1282
2,Hampshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Jonathan Grout,GJ0158,null,null,326
3,Hampshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Dwight Foster,FD0007,Federalist,A01,31
4,Hampshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Martin Kinsley,KM0013,null,null,66
5,Hampshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Nathaniel Paine,PN0020,null,null,44
6,Hampshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Timothy Paine,PT0071,null,null,27
7,Hampshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Moses Gill,GM0022,null,null,NA
8,Hampshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Daniel Bigelow,BD0045,null,null,29
9,Hampshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Abel Wilder,WA0042,null,null,6
10,Hampshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Elijah Brigham,BE0103,null,null,NA
11,Hampshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Josiah Stearns,SJ0359,null,null,NA
12,Hampshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Levi Lincoln,LL0038,null,null,NA
13,Hampshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Benjamin Grant,GB0023,null,null,5
14,Hampshire,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Benjamin Haywood,HB0067,null,null,NA
1,Worcester,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Artemas Ward,WA0043,Federalist,A01,957
2,Worcester,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Jonathan Grout,GJ0158,null,null,525
3,Worcester,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Dwight Foster,FD0007,Federalist,A01,27
4,Worcester,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Martin Kinsley,KM0013,null,null,9
5,Worcester,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Nathaniel Paine,PN0020,null,null,17
6,Worcester,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Timothy Paine,PT0071,null,null,33
7,Worcester,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Moses Gill,GM0022,null,null,48
8,Worcester,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Daniel Bigelow,BD0045,null,null,9
9,Worcester,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Abel Wilder,WA0042,null,null,7
10,Worcester,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Elijah Brigham,BE0103,null,null,12
11,Worcester,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Josiah Stearns,SJ0359,null,null,12
12,Worcester,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Levi Lincoln,LL0038,null,null,9
13,Worcester,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Benjamin Grant,GB0023,null,null,NA
14,Worcester,ma.uscongress.2.worcester.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 2, Candidate from Worcester County",U.S. House of Representatives,ON125,Benjamin Haywood,HB0067,null,null,1
