candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Berkshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,Samuel Lyman,LS0018,Federalist,A01,17
2,Berkshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,Theodore Sedgwick,ST0102,Federalist,A01,609
3,Berkshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,William Whiting,WW0090,Anti-Federalist,A02,754
4,Berkshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,Thompson J. Skinner,ST0101,null,null,630
5,Berkshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,William Williams,WW0126,null,null,NA
6,Berkshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,John Bacon,BJ0484,null,null,3
7,Berkshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,John Worthington,WJ0356,null,null,NA
8,Berkshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,Perox Clap,CP0033,null,null,NA
9,Berkshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,Jeremiah Hicock,HJ0401,null,null,1
10,Berkshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,Elisha Hunt,HE0036,null,null,NA
11,Berkshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,Ebenezer Warner,WE0062,null,null,NA
1,Hampshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,Samuel Lyman,LS0018,Federalist,A01,1830
2,Hampshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,Theodore Sedgwick,ST0102,Federalist,A01,914
3,Hampshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,William Whiting,WW0090,Anti-Federalist,A02,355
4,Hampshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,Thompson J. Skinner,ST0101,null,null,18
5,Hampshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,William Williams,WW0126,null,null,67
6,Hampshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,John Bacon,BJ0484,null,null,NA
7,Hampshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,John Worthington,WJ0356,null,null,2
8,Hampshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,Perox Clap,CP0033,null,null,1
9,Hampshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,Jeremiah Hicock,HJ0401,null,null,NA
10,Hampshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,Elisha Hunt,HE0036,null,null,1
11,Hampshire,ma.uscongress.4.ballot3.1789,1789-03,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 4, Ballot 3",U.S. House of Representatives,ON125,Ebenezer Warner,WE0062,null,null,1
