candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Cumberland,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,George Thacher,TG0012,Federalist,A01,287
2,Cumberland,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,Nathaniel Wells,WN0011,null,null,289
3,Cumberland,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,Tristram Jordan,JT0039,null,null,71
1,Hancock,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,George Thacher,TG0012,Federalist,A01,199
2,Hancock,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,Nathaniel Wells,WN0011,null,null,64
3,Hancock,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,Tristram Jordan,JT0039,null,null,NA
1,Lincoln,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,George Thacher,TG0012,Federalist,A01,371
2,Lincoln,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,Nathaniel Wells,WN0011,null,null,210
3,Lincoln,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,Tristram Jordan,JT0039,null,null,60
1,Washington,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,George Thacher,TG0012,Federalist,A01,172
2,Washington,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,Nathaniel Wells,WN0011,null,null,1
3,Washington,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,Tristram Jordan,JT0039,null,null,NA
1,York,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,George Thacher,TG0012,Federalist,A01,290
2,York,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,Nathaniel Wells,WN0011,null,null,244
3,York,ma.uscongress.4.york.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, District 4, Candidate from York County",U.S. House of Representatives,ON125,Tristram Jordan,JT0039,null,null,27
