election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
ma.uscongress.8.ballot2.1789,1789-01,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 8, Ballot 2",U.S. House of Representatives,ON125,Timothy Paine,PT0071,null,null,1,1040
ma.uscongress.8.ballot2.1789,1789-01,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 8, Ballot 2",U.S. House of Representatives,ON125,Jonathan Grout,GJ0158,null,null,2,990
ma.uscongress.8.ballot2.1789,1789-01,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 8, Ballot 2",U.S. House of Representatives,ON125,Artemas Ward,WA0043,Federalist,A01,3,258
ma.uscongress.8.ballot2.1789,1789-01,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 8, Ballot 2",U.S. House of Representatives,ON125,Jeremiah Learned,LJ0102,null,null,4,7
ma.uscongress.8.ballot2.1789,1789-01,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 8, Ballot 2",U.S. House of Representatives,ON125,Jonathan Warner,WJ0251,null,null,5,5
ma.uscongress.8.ballot2.1789,1789-01,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 8, Ballot 2",U.S. House of Representatives,ON125,Abel Wilder,WA0042,null,null,6,5
ma.uscongress.8.ballot2.1789,1789-01,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 8, Ballot 2",U.S. House of Representatives,ON125,Moses Gill,GM0022,null,null,7,3
ma.uscongress.8.ballot2.1789,1789-01,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 8, Ballot 2",U.S. House of Representatives,ON125,John Sprague,SJ0360,null,null,8,3
ma.uscongress.8.ballot2.1789,1789-01,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 8, Ballot 2",U.S. House of Representatives,ON125,Martin Kinsley,KM0013,null,null,9,2
ma.uscongress.8.ballot2.1789,1789-01,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 8, Ballot 2",U.S. House of Representatives,ON125,Ebenezer Chaplin,CE0028,null,null,10,1
ma.uscongress.8.ballot2.1789,1789-01,1789,General,"Massachusetts 1789 U.S. House of Representatives, District 8, Ballot 2",U.S. House of Representatives,ON125,Seth Washburn,WS0075,null,null,11,1
