election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,David Cobb,CD0056,null,null,1,Lynnfield,22
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,David Cobb,CD0056,null,null,1,Easthampton,6
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,David Cobb,CD0056,null,null,1,Orange,23
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,David Cobb,CD0056,null,null,1,Plainfield,15
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,Charles Jarvis,JC0015,null,null,2,New Ashford,13
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,Charles Jarvis,JC0015,null,null,2,Leyden,9
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,Charles Jarvis,JC0015,null,null,2,Plainfield,18
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,Charles Jarvis,JC0015,null,null,2,Carlisle,9
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,William Heath,HW0171,null,null,3,Tyngsborough,10
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,William Heath,HW0171,null,null,3,Dover,13
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,Theodore Sedgwick,ST0102,Federalist,A01,4,Easthampton,3
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,James Warren,WJ0248,null,null,5,Dover,1
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,Elbridge Gerry,GE0049,null,null,6,NA,NA
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,John Coffin Jones,JJ0099,null,null,7,NA,NA
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,Fisher Ames,AF0004,Federalist,A01,8,NA,NA
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,James Sullivan,SJ0366,null,null,9,NA,NA
ma.uscongress.atlarge.1792,1792-10,1792,General,"Massachusetts 1792 U.S. House of Representatives, At-Large",U.S. House of Representatives,ON125,Samuel Holten,HS0071,null,null,10,NA,NA
