candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Barnstable,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,"Walter Folger, Jr.",FW0026,Republican,A03,455
2,Barnstable,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,John Reed,RJ0539,Federalist,A01,343
3,Barnstable,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,William Willis,WW0100,Federalist,A01,NA
4,Barnstable,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,scattering,null,null,null,6
1,Bristol,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,"Walter Folger, Jr.",FW0026,Republican,A03,24
2,Bristol,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,John Reed,RJ0539,Federalist,A01,82
3,Bristol,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,William Willis,WW0100,Federalist,A01,95
4,Bristol,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,scattering,null,null,null,8
1,Dukes,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,"Walter Folger, Jr.",FW0026,Republican,A03,72
2,Dukes,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,John Reed,RJ0539,Federalist,A01,48
3,Dukes,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,William Willis,WW0100,Federalist,A01,NA
4,Dukes,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,scattering,null,null,null,NA
1,Nantucket,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,"Walter Folger, Jr.",FW0026,Republican,A03,290
2,Nantucket,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,John Reed,RJ0539,Federalist,A01,136
3,Nantucket,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,William Willis,WW0100,Federalist,A01,NA
4,Nantucket,ma.uscongress.barnstable.ballot3.1817,1817-05,1817,General,"Massachusetts 1817 U.S. House of Representatives, Barnstable District, Ballot 3",U.S. House of Representatives,ON125,scattering,null,null,null,NA
