election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
ma.uscongress.berkshire.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Berkshire District",U.S. House of Representatives,ON125,Henry Shaw,SH0031,Federalist,A01,1,Berkshire,1618
ma.uscongress.berkshire.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Berkshire District",U.S. House of Representatives,ON125,Henry Shaw,SH0031,Federalist,A01,1,New Ashford,30
ma.uscongress.berkshire.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Berkshire District",U.S. House of Representatives,ON125,Henry Shaw,SH0031,Federalist,A01,1,Southfield,5
ma.uscongress.berkshire.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Berkshire District",U.S. House of Representatives,ON125,Henry H. Dwight,DH0008,Republican,A03,2,Berkshire,1560
ma.uscongress.berkshire.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Berkshire District",U.S. House of Representatives,ON125,Henry H. Dwight,DH0008,Republican,A03,2,New Ashford,8
ma.uscongress.berkshire.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Berkshire District",U.S. House of Representatives,ON125,Henry H. Dwight,DH0008,Republican,A03,2,Southfield,3
ma.uscongress.berkshire.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Berkshire District",U.S. House of Representatives,ON125,Ambrose Hall,HA0092,Federalist,A01,3,Berkshire,94
ma.uscongress.berkshire.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Berkshire District",U.S. House of Representatives,ON125,Ambrose Hall,HA0092,Federalist,A01,3,New Ashford,8
ma.uscongress.berkshire.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Berkshire District",U.S. House of Representatives,ON125,John Whiting,WJ0434,null,null,4,Berkshire,5
ma.uscongress.berkshire.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Berkshire District",U.S. House of Representatives,ON125,William P. Walker,WW0343,null,null,5,Berkshire,9
ma.uscongress.berkshire.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Berkshire District",U.S. House of Representatives,ON125,scattering,null,null,null,6,Berkshire,35
