candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Cumberland,ma.uscongress.cumberland.1804,1804-11,1804,General,"Massachusetts 1804 U.S. House of Representatives, Cumberland District",U.S. House of Representatives,ON125,Peleg Wadsworth,WP0012,Federalist,A01,1392
2,Cumberland,ma.uscongress.cumberland.1804,1804-11,1804,General,"Massachusetts 1804 U.S. House of Representatives, Cumberland District",U.S. House of Representatives,ON125,William Wedgery,WW0129,Republican,A03,418
3,Cumberland,ma.uscongress.cumberland.1804,1804-11,1804,General,"Massachusetts 1804 U.S. House of Representatives, Cumberland District",U.S. House of Representatives,ON125,Isaac Parsons,PI0017,Republican,A03,373
4,Cumberland,ma.uscongress.cumberland.1804,1804-11,1804,General,"Massachusetts 1804 U.S. House of Representatives, Cumberland District",U.S. House of Representatives,ON125,Charles Turner,TC0071,null,null,6
5,Cumberland,ma.uscongress.cumberland.1804,1804-11,1804,General,"Massachusetts 1804 U.S. House of Representatives, Cumberland District",U.S. House of Representatives,ON125,Josiah Pierce,PJ0210,null,null,2
6,Cumberland,ma.uscongress.cumberland.1804,1804-11,1804,General,"Massachusetts 1804 U.S. House of Representatives, Cumberland District",U.S. House of Representatives,ON125,Stephen Longfellow,LS0011,Federalist,A01,1
7,Cumberland,ma.uscongress.cumberland.1804,1804-11,1804,General,"Massachusetts 1804 U.S. House of Representatives, Cumberland District",U.S. House of Representatives,ON125,Daniel Isley,ID0002,Republican,A03,1
8,Cumberland,ma.uscongress.cumberland.1804,1804-11,1804,General,"Massachusetts 1804 U.S. House of Representatives, Cumberland District",U.S. House of Representatives,ON125,Woodbury Storer,SW0008,Federalist,A01,1
9,Cumberland,ma.uscongress.cumberland.1804,1804-11,1804,General,"Massachusetts 1804 U.S. House of Representatives, Cumberland District",U.S. House of Representatives,ON125,William Symmes,SW0173,Republican,A03,1
10,Cumberland,ma.uscongress.cumberland.1804,1804-11,1804,General,"Massachusetts 1804 U.S. House of Representatives, Cumberland District",U.S. House of Representatives,ON125,Deacon Thrasher,TD0013,null,null,1
