candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Cumberland,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,Peleg Wadsworth,WP0012,Federalist,A01,584
2,Cumberland,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,John Chandler,CJ0020,Republican,A03,2
3,Cumberland,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,Stephen Longfellow,LS0011,Federalist,A01,44
4,Cumberland,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,Woodbury Story,SW0168,Federalist,A01,20
5,Cumberland,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,William Wedgery,WW0129,Republican,A03,14
6,Cumberland,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,Daniel Davis,DD0013,Federalist,A01,6
7,Cumberland,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,David Jones,JD0012,null,null,NA
8,Cumberland,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,Salmon Chase,CS0085,null,null,1
9,Cumberland,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,James Neal,NJ0068,null,null,1
10,Cumberland,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,John Wait,WJ0354,null,null,1
11,Cumberland,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,William Wilson,WW0103,null,null,NA
1,Kennebec,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,Peleg Wadsworth,WP0012,Federalist,A01,76
2,Kennebec,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,John Chandler,CJ0020,Republican,A03,102
3,Kennebec,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,Stephen Longfellow,LS0011,Federalist,A01,NA
4,Kennebec,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,Woodbury Story,SW0168,Federalist,A01,NA
5,Kennebec,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,William Wedgery,WW0129,Republican,A03,NA
6,Kennebec,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,Daniel Davis,DD0013,Federalist,A01,NA
7,Kennebec,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,David Jones,JD0012,null,null,3
8,Kennebec,ma.uscongress.eastern.2.1800,1800-11,1800,General,"Massachusetts 1800 U.S. House of Representatives, District Eastern 2",U.S. House of Representatives,ON125,Salmon Chase,CS0085,null,null,NA
