election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
ma.uscongress.eastern.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Eastern 3",U.S. House of Representatives,ON125,George Thacher,TG0012,Federalist,A01,1,444
ma.uscongress.eastern.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Eastern 3",U.S. House of Representatives,ON125,Joseph Morrill,MJ0333,null,null,2,62
ma.uscongress.eastern.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Eastern 3",U.S. House of Representatives,ON125,Nathaniel Wells,WN0011,null,null,3,54
ma.uscongress.eastern.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Eastern 3",U.S. House of Representatives,ON125,John Frost,FJ0139,null,null,4,34
ma.uscongress.eastern.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Eastern 3",U.S. House of Representatives,ON125,Ichabod Goodwin,GI0004,null,null,5,9
ma.uscongress.eastern.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Eastern 3",U.S. House of Representatives,ON125,Richard F. Cutts,CR0035,null,null,6,8
ma.uscongress.eastern.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Eastern 3",U.S. House of Representatives,ON125,John Lord,LJ0185,null,null,7,5
ma.uscongress.eastern.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Eastern 3",U.S. House of Representatives,ON125,Simon Frye,FS0021,null,null,8,2
ma.uscongress.eastern.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Eastern 3",U.S. House of Representatives,ON125,Joseph Tucker,TJ0157,null,null,9,2
ma.uscongress.eastern.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Eastern 3",U.S. House of Representatives,ON125,Thomas Cutts,CT0118,null,null,10,1
