candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Kennebec,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,Thomas Rice,RT0039,Federalist,A01,485
2,Kennebec,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,Samuel S. Conner,CS0086,Republican,A03,559
3,Kennebec,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,Obed Wilson,WO0021,Republican,A03,9
4,Kennebec,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,Joshua Cushman,CJ0007,Republican,A03,36
5,Kennebec,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,Samuel Conner,CS0086,null,null,6
6,Kennebec,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,Hezekiah Sawtell,SH0140,null,null,1
7,Kennebec,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,John Whitier,WJ1082,null,null,NA
8,Kennebec,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,scattering,null,null,null,50
1,Somerset,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,Thomas Rice,RT0039,Federalist,A01,545
2,Somerset,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,Samuel S. Conner,CS0086,Republican,A03,253
3,Somerset,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,Obed Wilson,WO0021,Republican,A03,145
4,Somerset,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,Joshua Cushman,CJ0007,Republican,A03,16
5,Somerset,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,Samuel Conner,CS0086,null,null,NA
6,Somerset,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,Hezekiah Sawtell,SH0140,null,null,NA
7,Somerset,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,John Whitier,WJ1082,null,null,1
8,Somerset,ma.uscongress.eastern6.ballot4.1817,1817-07,1817,General,"Massachusetts 1817 U.S. House of Representatives, Eastern District #6, Ballot 4",U.S. House of Representatives,ON125,scattering,null,null,null,14
