candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Essex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,Leonard White,WL0035,null,null,1418
2,Essex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,T. Kitteridge,KT0032,null,null,785
3,Essex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,N. Cleveland,CN0016,null,null,94
4,Essex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,J. M. Clark,CJ0330,null,null,1
5,Essex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,Jacob Little,LJ0252,null,null,1
6,Essex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,John Nelson,NJ0080,null,null,1
7,Essex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,John Peabody,PJ0200,null,null,1
8,Essex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,J. Perly,PJ0241,null,null,1
1,Middlesex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,Leonard White,WL0035,null,null,105
2,Middlesex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,T. Kitteridge,KT0032,null,null,31
3,Middlesex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,N. Cleveland,CN0016,null,null,NA
4,Middlesex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,J. M. Clark,CJ0330,null,null,NA
5,Middlesex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,Jacob Little,LJ0252,null,null,NA
6,Middlesex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,John Nelson,NJ0080,null,null,NA
7,Middlesex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,John Peabody,PJ0200,null,null,NA
8,Middlesex,ma.uscongress.essexnorth.1810,1810,1810,General,"Massachusetts 1810 U.S. House of Representatives, Essex North District",U.S. House of Representatives,ON125,J. Perly,PJ0241,null,null,NA
