candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Hampden,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,Samuel Lathrop,LS0046,Federalist,A01,1101
2,Hampden,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,James Fowler,FJ0127,Republican,A03,1032
3,Hampden,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,Thomas Shepard,ST0058,Republican,A03,73
4,Hampden,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,Samuel Fowler,FS0045,null,null,NA
5,Hampden,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,Edward Pynchon,PE0040,null,null,2
6,Hampden,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,Levi Lincoln,LL0044,null,null,1
7,Hampden,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,Marcus Morton,MM0019,null,null,1
8,Hampden,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,scattering,null,null,null,63
1,Hampshire,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,Samuel Lathrop,LS0046,Federalist,A01,819
2,Hampshire,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,James Fowler,FJ0127,Republican,A03,184
3,Hampshire,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,Thomas Shepard,ST0058,Republican,A03,NA
4,Hampshire,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,Samuel Fowler,FS0045,null,null,5
5,Hampshire,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,Edward Pynchon,PE0040,null,null,NA
6,Hampshire,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,Levi Lincoln,LL0044,null,null,NA
7,Hampshire,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,Marcus Morton,MM0019,null,null,NA
8,Hampshire,ma.uscongress.hampden.ballot3.1825,1825-04,1825,General,"Massachusetts 1825 U.S. House of Representatives, Hampden District, Ballot 3",U.S. House of Representatives,ON125,scattering,null,null,null,4
