candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Hampshire,ma.uscongress.hampshirenorth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Hampshire North District",U.S. House of Representatives,ON125,Hugh MacClellan,MH0053,Federalist,A01,508
2,Hampshire,ma.uscongress.hampshirenorth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Hampshire North District",U.S. House of Representatives,ON125,John Williams,WJ0343,null,null,262
3,Hampshire,ma.uscongress.hampshirenorth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Hampshire North District",U.S. House of Representatives,ON125,Samuel Taggert,TS0046,Federalist,A01,257
4,Hampshire,ma.uscongress.hampshirenorth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Hampshire North District",U.S. House of Representatives,ON125,Solomon Smead,SS0117,Federalist,A01,211
5,Hampshire,ma.uscongress.hampshirenorth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Hampshire North District",U.S. House of Representatives,ON125,Joseph Lyman,LJ0212,Federalist,A01,174
6,Hampshire,ma.uscongress.hampshirenorth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Hampshire North District",U.S. House of Representatives,ON125,Solomon Vose,VS0011,null,null,138
7,Hampshire,ma.uscongress.hampshirenorth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Hampshire North District",U.S. House of Representatives,ON125,Edward Upham,UE0004,null,null,90
8,Hampshire,ma.uscongress.hampshirenorth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Hampshire North District",U.S. House of Representatives,ON125,Zebina Montague,MZ0005,null,null,82
9,Hampshire,ma.uscongress.hampshirenorth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Hampshire North District",U.S. House of Representatives,ON125,John Hastings,HJ0297,Federalist,A01,5
10,Hampshire,ma.uscongress.hampshirenorth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Hampshire North District",U.S. House of Representatives,ON125,Benjamin Smith,SB0037,null,null,2
11,Hampshire,ma.uscongress.hampshirenorth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Hampshire North District",U.S. House of Representatives,ON125,Warren Pierce,PW0080,null,null,1
12,Hampshire,ma.uscongress.hampshirenorth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Hampshire North District",U.S. House of Representatives,ON125,David Persons,PD0021,null,null,1
13,Hampshire,ma.uscongress.hampshirenorth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Hampshire North District",U.S. House of Representatives,ON125,William Pomeroy,PW0078,null,null,1
