candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Hampden,ma.uscongress.hampshiresouth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Hampshire South District",U.S. House of Representatives,ON125,Samuel Lathrop,LS0046,Federalist,A01,627
2,Hampden,ma.uscongress.hampshiresouth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Hampshire South District",U.S. House of Representatives,ON125,Isaac C. Bates,BI0043,Federalist,A01,153
3,Hampden,ma.uscongress.hampshiresouth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Hampshire South District",U.S. House of Representatives,ON125,Thomas Shephard,ST0058,Republican,A03,261
4,Hampden,ma.uscongress.hampshiresouth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Hampshire South District",U.S. House of Representatives,ON125,Joseph Lyman,LJ0212,Federalist,A01,74
5,Hampden,ma.uscongress.hampshiresouth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Hampshire South District",U.S. House of Representatives,ON125,scattering,null,null,null,NA
1,Hampshire,ma.uscongress.hampshiresouth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Hampshire South District",U.S. House of Representatives,ON125,Samuel Lathrop,LS0046,Federalist,A01,241
2,Hampshire,ma.uscongress.hampshiresouth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Hampshire South District",U.S. House of Representatives,ON125,Isaac C. Bates,BI0043,Federalist,A01,257
3,Hampshire,ma.uscongress.hampshiresouth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Hampshire South District",U.S. House of Representatives,ON125,Thomas Shephard,ST0058,Republican,A03,92
4,Hampshire,ma.uscongress.hampshiresouth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Hampshire South District",U.S. House of Representatives,ON125,Joseph Lyman,LJ0212,Federalist,A01,98
5,Hampshire,ma.uscongress.hampshiresouth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Hampshire South District",U.S. House of Representatives,ON125,scattering,null,null,null,NA
