candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Middlesex,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,Joseph B. Varnum,VJ0024,null,null,1276
2,Middlesex,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,"Samuel Dexter, Jr.",DS0053,Federalist,A01,1082
3,Middlesex,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,Nathaniel Gorham,GN0007,null,null,50
4,Middlesex,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,Ebenezer Bridge,BE0139,null,null,3
5,Middlesex,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,Edward Barns,BE0040,null,null,1
6,Middlesex,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,Elijah Brigham,BE0103,null,null,NA
7,Middlesex,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,Benjamin Brown,BB0166,null,null,1
8,Middlesex,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,James Winthrop,WJ0341,null,null,1
1,Worcester,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,Joseph B. Varnum,VJ0024,null,null,233
2,Worcester,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,"Samuel Dexter, Jr.",DS0053,Federalist,A01,347
3,Worcester,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,Nathaniel Gorham,GN0007,null,null,NA
4,Worcester,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,Ebenezer Bridge,BE0139,null,null,NA
5,Worcester,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,Edward Barns,BE0040,null,null,NA
6,Worcester,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,Elijah Brigham,BE0103,null,null,1
7,Worcester,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,Benjamin Brown,BB0166,null,null,NA
8,Worcester,ma.uscongress.middle.2.ballot3.1795,1795-03,1795,General,"Massachusetts 1795 U.S. House of Representatives, District Middle 2, Ballot 3",U.S. House of Representatives,ON125,James Winthrop,WJ0341,null,null,NA
