candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Essex,ma.uscongress.middle.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Middle 3",U.S. House of Representatives,ON125,Samuel Sewell,SS0068,null,null,357
2,Essex,ma.uscongress.middle.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Middle 3",U.S. House of Representatives,ON125,Leammi Baldwin,BL0023,null,null,54
3,Essex,ma.uscongress.middle.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Middle 3",U.S. House of Representatives,ON125,Samuel Holten,HS0071,null,null,3
4,Essex,ma.uscongress.middle.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Middle 3",U.S. House of Representatives,ON125,Moses Brown,BM0029,null,null,4
5,Essex,ma.uscongress.middle.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Middle 3",U.S. House of Representatives,ON125,John Norris,NJ0062,null,null,3
6,Essex,ma.uscongress.middle.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Middle 3",U.S. House of Representatives,ON125,James Barnesof,BJ0406,null,null,NA
7,Essex,ma.uscongress.middle.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Middle 3",U.S. House of Representatives,ON125,Jonathan Ingersoll,IJ0013,null,null,1
1,Middlesex,ma.uscongress.middle.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Middle 3",U.S. House of Representatives,ON125,Samuel Sewell,SS0068,null,null,85
2,Middlesex,ma.uscongress.middle.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Middle 3",U.S. House of Representatives,ON125,Leammi Baldwin,BL0023,null,null,155
3,Middlesex,ma.uscongress.middle.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Middle 3",U.S. House of Representatives,ON125,Samuel Holten,HS0071,null,null,45
4,Middlesex,ma.uscongress.middle.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Middle 3",U.S. House of Representatives,ON125,Moses Brown,BM0029,null,null,NA
5,Middlesex,ma.uscongress.middle.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Middle 3",U.S. House of Representatives,ON125,John Norris,NJ0062,null,null,NA
6,Middlesex,ma.uscongress.middle.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Middle 3",U.S. House of Representatives,ON125,James Barnesof,BJ0406,null,null,2
7,Middlesex,ma.uscongress.middle.3.1796,1796,1796,General,"Massachusetts 1796 U.S. House of Representatives, District Middle 3",U.S. House of Representatives,ON125,Jonathan Ingersoll,IJ0013,null,null,NA
