election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
ma.uscongress.norfolk.ballot3.1825,1825-01,1825,General,"Massachusetts 1825 U.S. House of Representatives, Norfolk District, Ballot 3",U.S. House of Representatives,ON125,John Bailey,BJ0321,Republican,A03,1,Norfolk,1669
ma.uscongress.norfolk.ballot3.1825,1825-01,1825,General,"Massachusetts 1825 U.S. House of Representatives, Norfolk District, Ballot 3",U.S. House of Representatives,ON125,John Bailey,BJ0321,Republican,A03,1,Dover,21
ma.uscongress.norfolk.ballot3.1825,1825-01,1825,General,"Massachusetts 1825 U.S. House of Representatives, Norfolk District, Ballot 3",U.S. House of Representatives,ON125,Sherman Leland,LS0020,null,null,2,Norfolk,991
ma.uscongress.norfolk.ballot3.1825,1825-01,1825,General,"Massachusetts 1825 U.S. House of Representatives, Norfolk District, Ballot 3",U.S. House of Representatives,ON125,Sherman Leland,LS0020,null,null,2,Dover,7
ma.uscongress.norfolk.ballot3.1825,1825-01,1825,General,"Massachusetts 1825 U.S. House of Representatives, Norfolk District, Ballot 3",U.S. House of Representatives,ON125,William Ellis,EW0022,null,null,3,Norfolk,47
ma.uscongress.norfolk.ballot3.1825,1825-01,1825,General,"Massachusetts 1825 U.S. House of Representatives, Norfolk District, Ballot 3",U.S. House of Representatives,ON125,Ebenezer Seaver,SE0023,null,null,4,Norfolk,25
ma.uscongress.norfolk.ballot3.1825,1825-01,1825,General,"Massachusetts 1825 U.S. House of Representatives, Norfolk District, Ballot 3",U.S. House of Representatives,ON125,Jonathan Leonard,LJ0180,null,null,5,Norfolk,17
ma.uscongress.norfolk.ballot3.1825,1825-01,1825,General,"Massachusetts 1825 U.S. House of Representatives, Norfolk District, Ballot 3",U.S. House of Representatives,ON125,Joseph Valentine,VJ0041,null,null,6,Norfolk,16
ma.uscongress.norfolk.ballot3.1825,1825-01,1825,General,"Massachusetts 1825 U.S. House of Representatives, Norfolk District, Ballot 3",U.S. House of Representatives,ON125,scattering,null,null,null,7,Norfolk,149
ma.uscongress.norfolk.ballot3.1825,1825-01,1825,General,"Massachusetts 1825 U.S. House of Representatives, Norfolk District, Ballot 3",U.S. House of Representatives,ON125,scattering,null,null,null,7,Dover,2
