election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
ma.uscongress.plymouth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Nahum Mitchell,MN0055,Federalist,A01,1,Plymouth,1402
ma.uscongress.plymouth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Henry Warren,WH0030,Republican,A03,2,Plymouth,1002
ma.uscongress.plymouth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Samuel Niles,NS0034,null,null,3,Plymouth,6
ma.uscongress.plymouth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Joseph Barker,BJ0499,null,null,4,Plymouth,5
ma.uscongress.plymouth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Benjamin Whitman,WB0026,null,null,5,Plymouth,2
ma.uscongress.plymouth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Nathaniel Goodwin,GN0009,null,null,6,Plymouth,1
ma.uscongress.plymouth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Aaron Hobart,HA0109,null,null,7,Plymouth,1
ma.uscongress.plymouth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Martin Parris,PM0028,null,null,8,Plymouth,1
ma.uscongress.plymouth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,George Partridge,PG0027,null,null,9,Plymouth,1
ma.uscongress.plymouth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Joseph Smith,SJ0403,null,null,10,Plymouth,1
ma.uscongress.plymouth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Josiah Smith,SJ0404,null,null,11,Plymouth,1
ma.uscongress.plymouth.1802,1802-11,1802,General,"Massachusetts 1802 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Joshua Thomas,TJ0188,null,null,12,Plymouth,1
