candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Bristol,ma.uscongress.plymouth.1822,1822-11,1822,General,"Massachusetts 1822 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Aaron Hobart,HA0079,Republican,A03,49
2,Bristol,ma.uscongress.plymouth.1822,1822-11,1822,General,"Massachusetts 1822 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Cushing Otis,OC0009,Federalist,A01,35
3,Bristol,ma.uscongress.plymouth.1822,1822-11,1822,General,"Massachusetts 1822 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Charles Turner,TC0016,null,null,NA
4,Bristol,ma.uscongress.plymouth.1822,1822-11,1822,General,"Massachusetts 1822 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,scattering,null,null,null,NA
1,Norfolk,ma.uscongress.plymouth.1822,1822-11,1822,General,"Massachusetts 1822 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Aaron Hobart,HA0079,Republican,A03,82
2,Norfolk,ma.uscongress.plymouth.1822,1822-11,1822,General,"Massachusetts 1822 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Cushing Otis,OC0009,Federalist,A01,85
3,Norfolk,ma.uscongress.plymouth.1822,1822-11,1822,General,"Massachusetts 1822 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Charles Turner,TC0016,null,null,NA
4,Norfolk,ma.uscongress.plymouth.1822,1822-11,1822,General,"Massachusetts 1822 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,scattering,null,null,null,NA
1,Plymouth,ma.uscongress.plymouth.1822,1822-11,1822,General,"Massachusetts 1822 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Aaron Hobart,HA0079,Republican,A03,1075
2,Plymouth,ma.uscongress.plymouth.1822,1822-11,1822,General,"Massachusetts 1822 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Cushing Otis,OC0009,Federalist,A01,749
3,Plymouth,ma.uscongress.plymouth.1822,1822-11,1822,General,"Massachusetts 1822 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,Charles Turner,TC0016,null,null,NA
4,Plymouth,ma.uscongress.plymouth.1822,1822-11,1822,General,"Massachusetts 1822 U.S. House of Representatives, Plymouth District",U.S. House of Representatives,ON125,scattering,null,null,null,NA
