candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Barnstable,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,"Nathaniel Freeman, Jr.",FN0017,null,null,819
2,Barnstable,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,"Peleg Coffin, Jr.",CP0027,null,null,32
3,Barnstable,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,Lewis Gorham,GL0022,null,null,2
4,Barnstable,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,Richard Childs,CR0079,null,null,1
1,Bristol,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,"Nathaniel Freeman, Jr.",FN0017,null,null,48
2,Bristol,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,"Peleg Coffin, Jr.",CP0027,null,null,15
3,Bristol,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,Lewis Gorham,GL0022,null,null,NA
4,Bristol,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,Richard Childs,CR0079,null,null,NA
1,Dukes,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,"Nathaniel Freeman, Jr.",FN0017,null,null,70
2,Dukes,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,"Peleg Coffin, Jr.",CP0027,null,null,29
3,Dukes,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,Lewis Gorham,GL0022,null,null,NA
4,Dukes,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,Richard Childs,CR0079,null,null,NA
1,Nantucket,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,"Nathaniel Freeman, Jr.",FN0017,null,null,31
2,Nantucket,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,"Peleg Coffin, Jr.",CP0027,null,null,353
3,Nantucket,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,Lewis Gorham,GL0022,null,null,NA
4,Nantucket,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,Richard Childs,CR0079,null,null,NA
1,Plymouth,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,"Nathaniel Freeman, Jr.",FN0017,null,null,66
2,Plymouth,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,"Peleg Coffin, Jr.",CP0027,null,null,46
3,Plymouth,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,Lewis Gorham,GL0022,null,null,NA
4,Plymouth,ma.uscongress.southern.1.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 1",U.S. House of Representatives,ON125,Richard Childs,CR0079,null,null,NA
