election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
ma.uscongress.southern.2.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,John Read,RJ0226,Federalist,A01,1,Southern Two,650
ma.uscongress.southern.2.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,George Partridge,PG0027,null,null,2,Southern Two,222
ma.uscongress.southern.2.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,John Davis,DJ0181,null,null,3,Southern Two,88
ma.uscongress.southern.2.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,David Barnes,BD0069,null,null,4,Southern Two,16
ma.uscongress.southern.2.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Edward H. Robbins,RE0018,null,null,5,Southern Two,12
ma.uscongress.southern.2.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Isaac Thompson,TI0012,null,null,6,Southern Two,8
ma.uscongress.southern.2.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Andrew Croswell,CA0084,null,null,7,Southern Two,4
ma.uscongress.southern.2.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Nathaniel Goodwin,GN0009,null,null,8,Southern Two,2
ma.uscongress.southern.2.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Daniel Howard,HD0040,null,null,9,Southern Two,1
ma.uscongress.southern.2.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Benjamin Lincoln,LB0025,Federalist,A01,10,Southern Two,1
ma.uscongress.southern.2.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Israel Nickells,NI0010,null,null,11,Southern Two,1
ma.uscongress.southern.2.1794,1794-11,1794,General,"Massachusetts 1794 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Cotton Tufts,TC0017,null,null,12,Southern Two,1
