election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,John Read,RJ0226,Federalist,A01,1,1255
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,John Swift,SJ0428,null,null,2,583
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Daniel Snow,SD0059,null,null,3,327
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Samuel Niles,NS0034,null,null,4,98
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Kilborn Whitman,WK0000,null,null,5,76
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Benjamin Whitman,WB0026,null,null,6,31
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Joseph Smith,SJ0403,null,null,7,7
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Samuel Angier,AS0025,null,null,8,2
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,George Partridge,PG0027,null,null,9,2
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,John Turner,TJ0151,null,null,10,2
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Henry Warren,WH0030,null,null,11,2
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Joseph Croswell,CJ0291,null,null,12,1
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Adam Howell,HA0105,null,null,13,1
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Ebenezer Thayer,TE0036,null,null,14,1
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,Charles Turner,TC0016,null,null,15,1
ma.uscongress.southern.2.1798,1798-11,1798,General,"Massachusetts 1798 U.S. House of Representatives, District Southern 2",U.S. House of Representatives,ON125,James Warren,WJ0248,null,null,16,1
