candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Bristol,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,Stephen Bullock,BS0112,null,null,404
2,Bristol,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,Laban Wheaton,WL0029,null,null,218
3,Bristol,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,Elisha May,ME0023,null,null,260
4,Bristol,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,"Nicholas Tillinghurt, Jr.",TN0022,null,null,80
5,Bristol,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,"Nathaniel Martin, Jr.",MN0019,null,null,62
6,Bristol,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,Josiah Dean,DJ0177,null,null,12
7,Bristol,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,Seth Bullard,BS0035,null,null,NA
8,Bristol,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,Zephaniah Leonard,LZ0004,null,null,4
9,Bristol,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,Ebenezer Clap,CE0046,null,null,NA
10,Bristol,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,David Avery,AD0021,null,null,NA
1,Norfolk,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,Stephen Bullock,BS0112,null,null,57
2,Norfolk,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,Laban Wheaton,WL0029,null,null,210
3,Norfolk,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,Elisha May,ME0023,null,null,152
4,Norfolk,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,"Nicholas Tillinghurt, Jr.",TN0022,null,null,NA
5,Norfolk,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,"Nathaniel Martin, Jr.",MN0019,null,null,NA
6,Norfolk,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,Josiah Dean,DJ0177,null,null,NA
7,Norfolk,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,Seth Bullard,BS0035,null,null,7
8,Norfolk,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,Zephaniah Leonard,LZ0004,null,null,NA
9,Norfolk,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,Ebenezer Clap,CE0046,null,null,3
10,Norfolk,ma.uscongress.southern.3.ballot2.1797,1797-01,1797,General,"Massachusetts 1797 U.S. House of Representatives, District Southern 3, Ballot 2",U.S. House of Representatives,ON125,David Avery,AD0021,null,null,2
