election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
ma.uscongress.suffolk.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Suffolk District",U.S. House of Representatives,ON125,Jonathan Mason,MJ0290,Republican,A03,1,Suffolk,698
ma.uscongress.suffolk.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Suffolk District",U.S. House of Representatives,ON125,Andrew Richie,RA0047,Federalist,A01,2,Suffolk,385
ma.uscongress.suffolk.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Suffolk District",U.S. House of Representatives,ON125,Daniel Webster,WD0028,Federalist,A01,3,Suffolk,4
ma.uscongress.suffolk.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Suffolk District",U.S. House of Representatives,ON125,James T. Austin,AJ0081,null,null,4,Suffolk,2
ma.uscongress.suffolk.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Suffolk District",U.S. House of Representatives,ON125,Samuel Hammond,HS0309,null,null,5,Suffolk,2
ma.uscongress.suffolk.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Suffolk District",U.S. House of Representatives,ON125,Moses Williams,WM0090,null,null,6,Suffolk,2
ma.uscongress.suffolk.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Suffolk District",U.S. House of Representatives,ON125,Ebenezer Clough,CE0029,null,null,7,Suffolk,1
ma.uscongress.suffolk.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Suffolk District",U.S. House of Representatives,ON125,Paul Dean,DP0071,null,null,8,Suffolk,1
ma.uscongress.suffolk.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Suffolk District",U.S. House of Representatives,ON125,Daniel Dunton,DD0117,null,null,9,Suffolk,1
ma.uscongress.suffolk.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Suffolk District",U.S. House of Representatives,ON125,Alexander H. Everett,EA0015,null,null,10,Suffolk,1
ma.uscongress.suffolk.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Suffolk District",U.S. House of Representatives,ON125,Caleb Hayward,HC0157,null,null,11,Suffolk,1
ma.uscongress.suffolk.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Suffolk District",U.S. House of Representatives,ON125,James Lloyd,LJ0107,Federalist,A01,12,Suffolk,1
ma.uscongress.suffolk.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Suffolk District",U.S. House of Representatives,ON125,Joseph Ruggles,RJ0717,null,null,13,Suffolk,1
ma.uscongress.suffolk.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Suffolk District",U.S. House of Representatives,ON125,Samuel A. Wells,WS0027,null,null,14,Suffolk,1
