candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Middlesex,ma.uscongress.worcesternorth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Worcester North District",U.S. House of Representatives,ON125,Jonas Kendall,KJ0066,Federalist,A01,130
2,Middlesex,ma.uscongress.worcesternorth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Worcester North District",U.S. House of Representatives,ON125,Edward Cushing,CE0079,Republican,A03,218
3,Middlesex,ma.uscongress.worcesternorth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Worcester North District",U.S. House of Representatives,ON125,Silas Holman,HS0075,Federalist,A01,NA
4,Middlesex,ma.uscongress.worcesternorth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Worcester North District",U.S. House of Representatives,ON125,James Humphries,HJ0353,null,null,NA
5,Middlesex,ma.uscongress.worcesternorth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Worcester North District",U.S. House of Representatives,ON125,scattering,null,null,null,NA
1,Worcester,ma.uscongress.worcesternorth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Worcester North District",U.S. House of Representatives,ON125,Jonas Kendall,KJ0066,Federalist,A01,1377
2,Worcester,ma.uscongress.worcesternorth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Worcester North District",U.S. House of Representatives,ON125,Edward Cushing,CE0079,Republican,A03,536
3,Worcester,ma.uscongress.worcesternorth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Worcester North District",U.S. House of Representatives,ON125,Silas Holman,HS0075,Federalist,A01,42
4,Worcester,ma.uscongress.worcesternorth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Worcester North District",U.S. House of Representatives,ON125,James Humphries,HJ0353,null,null,3
5,Worcester,ma.uscongress.worcesternorth.1818,1818-11,1818,General,"Massachusetts 1818 U.S. House of Representatives, Worcester North District",U.S. House of Representatives,ON125,scattering,null,null,null,NA
