candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Middlesex,ma.uscongress.worcesternorth.ballot2.1823,1823-03,1823,General,"Massachusetts 1823 U.S. House of Representatives, Worcester North District, Ballot 2",U.S. House of Representatives,ON125,Samuel Dana,DS0058,null,null,536
2,Middlesex,ma.uscongress.worcesternorth.ballot2.1823,1823-03,1823,General,"Massachusetts 1823 U.S. House of Representatives, Worcester North District, Ballot 2",U.S. House of Representatives,ON125,Lewis Bigelow,BL0037,null,null,46
3,Middlesex,ma.uscongress.worcesternorth.ballot2.1823,1823-03,1823,General,"Massachusetts 1823 U.S. House of Representatives, Worcester North District, Ballot 2",U.S. House of Representatives,ON125,Jonas Kendall,KJ0066,null,null,33
4,Middlesex,ma.uscongress.worcesternorth.ballot2.1823,1823-03,1823,General,"Massachusetts 1823 U.S. House of Representatives, Worcester North District, Ballot 2",U.S. House of Representatives,ON125,Joseph G. Kendell,KJ0074,null,null,24
5,Middlesex,ma.uscongress.worcesternorth.ballot2.1823,1823-03,1823,General,"Massachusetts 1823 U.S. House of Representatives, Worcester North District, Ballot 2",U.S. House of Representatives,ON125,Stephen P. Gardner,GS0049,null,null,NA
6,Middlesex,ma.uscongress.worcesternorth.ballot2.1823,1823-03,1823,General,"Massachusetts 1823 U.S. House of Representatives, Worcester North District, Ballot 2",U.S. House of Representatives,ON125,John Shepley,SJ0444,null,null,NA
7,Middlesex,ma.uscongress.worcesternorth.ballot2.1823,1823-03,1823,General,"Massachusetts 1823 U.S. House of Representatives, Worcester North District, Ballot 2",U.S. House of Representatives,ON125,scattering,null,null,null,NA
1,Worcester,ma.uscongress.worcesternorth.ballot2.1823,1823-03,1823,General,"Massachusetts 1823 U.S. House of Representatives, Worcester North District, Ballot 2",U.S. House of Representatives,ON125,Samuel Dana,DS0058,null,null,932
2,Worcester,ma.uscongress.worcesternorth.ballot2.1823,1823-03,1823,General,"Massachusetts 1823 U.S. House of Representatives, Worcester North District, Ballot 2",U.S. House of Representatives,ON125,Lewis Bigelow,BL0037,null,null,924
3,Worcester,ma.uscongress.worcesternorth.ballot2.1823,1823-03,1823,General,"Massachusetts 1823 U.S. House of Representatives, Worcester North District, Ballot 2",U.S. House of Representatives,ON125,Jonas Kendall,KJ0066,null,null,565
4,Worcester,ma.uscongress.worcesternorth.ballot2.1823,1823-03,1823,General,"Massachusetts 1823 U.S. House of Representatives, Worcester North District, Ballot 2",U.S. House of Representatives,ON125,Joseph G. Kendell,KJ0074,null,null,10
5,Worcester,ma.uscongress.worcesternorth.ballot2.1823,1823-03,1823,General,"Massachusetts 1823 U.S. House of Representatives, Worcester North District, Ballot 2",U.S. House of Representatives,ON125,Stephen P. Gardner,GS0049,null,null,1
6,Worcester,ma.uscongress.worcesternorth.ballot2.1823,1823-03,1823,General,"Massachusetts 1823 U.S. House of Representatives, Worcester North District, Ballot 2",U.S. House of Representatives,ON125,John Shepley,SJ0444,null,null,1
7,Worcester,ma.uscongress.worcesternorth.ballot2.1823,1823-03,1823,General,"Massachusetts 1823 U.S. House of Representatives, Worcester North District, Ballot 2",U.S. House of Representatives,ON125,scattering,null,null,null,47
