candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,Joshua Seney,SJ0183,Federalist,A01,463
2,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,Daniel Carroll,CD0030,Federalist,A01,120
3,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,Benjamin Contee,CB0013,Federalist,A01,117
4,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,George Gale,GG0007,Federalist,A01,118
5,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,William Smith,SW0028,Federalist,A01,118
6,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,Michael J. Stone,SM0034,Federalist,A01,107
7,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,George Dent,DG0004,Anti-Federalist,A02,357
8,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Sterett,SS0058,Anti-Federalist,A02,323
9,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,John F. Mercer,MJ0200,Anti-Federalist,A02,363
10,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,Abraham Faw,FA0015,Anti-Federalist,A02,342
11,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,John Done,DJ0119,Anti-Federalist,A02,333
12,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,William V. Murray,MW0069,Anti-Federalist,A02,11
13,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,Nathaniel Ramsay,RN0009,null,null,NA
14,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Chase,CS0019,null,null,NA
15,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Johnson,JT0019,Federalist,A01,NA
16,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,James MacHenry,MJ0196,null,null,NA
17,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,John Scott,SJ0184,null,null,NA
18,Anne Arundel,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,William Paca,PW0039,null,null,NA
1,Baltimore,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,Joshua Seney,SJ0183,Federalist,A01,841
2,Baltimore,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,Daniel Carroll,CD0030,Federalist,A01,158
3,Baltimore,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,Benjamin Contee,CB0013,Federalist,A01,145
4,Baltimore,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,George Gale,GG0007,Federalist,A01,146
5,Baltimore,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,William Smith,SW0028,Federalist,A01,141
6,Baltimore,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,Michael J. Stone,SM0034,Federalist,A01,141
7,Baltimore,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,George Dent,DG0004,Anti-Federalist,A02,603
8,Baltimore,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Sterett,SS0058,Anti-Federalist,A02,673
9,Baltimore,md.uscongress.1789,1789-01,1789,General,Maryland 1789 U.S. House of Representatives,U.S. House of Representatives,ON125,John F. Mercer,MJ0200,Anti-Federalist,A02,610
