candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Cecil,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,John Archer,AJ0075,Republican,A03,374
2,Cecil,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,John Carlisle,CJ0219,Federalist,A01,33
3,Cecil,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Philip Thomas,TP0016,Federalist,A01,NA
4,Cecil,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Samuel Rasin,RS0019,null,null,NA
5,Cecil,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Nicholas MacComus,MN0012,null,null,NA
6,Cecil,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Robert Wright,WR0038,null,null,NA
1,Harford,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,John Archer,AJ0075,Republican,A03,881
2,Harford,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,John Carlisle,CJ0219,Federalist,A01,29
3,Harford,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Philip Thomas,TP0016,Federalist,A01,NA
4,Harford,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Samuel Rasin,RS0019,null,null,NA
5,Harford,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Nicholas MacComus,MN0012,null,null,NA
6,Harford,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Robert Wright,WR0038,null,null,NA
1,Kent,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,John Archer,AJ0075,Republican,A03,275
2,Kent,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,John Carlisle,CJ0219,Federalist,A01,NA
3,Kent,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Philip Thomas,TP0016,Federalist,A01,7
4,Kent,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Samuel Rasin,RS0019,null,null,2
5,Kent,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Nicholas MacComus,MN0012,null,null,1
6,Kent,md.uscongress6.1801,1801,1801,General,"Maryland 1801 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Robert Wright,WR0038,null,null,1
