candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,York,me.uscongress1.fourth.1823,1823-11,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 4",U.S. House of Representatives,ON125,William Burleigh,BW0280,Adams,A03,2090
2,York,me.uscongress1.fourth.1823,1823-11,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 4",U.S. House of Representatives,ON125,Rufus MacIntire,MR0008,Adams,A03,1904
3,York,me.uscongress1.fourth.1823,1823-11,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 4",U.S. House of Representatives,ON125,Isaac Lane,LI0013,Crawford,A03,NA
4,York,me.uscongress1.fourth.1823,1823-11,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 4",U.S. House of Representatives,ON125,Ellis B. Usher,UE0003,null,null,NA
5,York,me.uscongress1.fourth.1823,1823-11,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 4",U.S. House of Representatives,ON125,John Spring,SJ0028,null,null,NA
6,York,me.uscongress1.fourth.1823,1823-11,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 4",U.S. House of Representatives,ON125,Joseph Dane,DJ0174,null,null,NA
7,York,me.uscongress1.fourth.1823,1823-11,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 4",U.S. House of Representatives,ON125,Moses Dunn,DM0010,null,null,NA
8,York,me.uscongress1.fourth.1823,1823-11,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 4",U.S. House of Representatives,ON125,Edward P. Hayman,HE0007,null,null,NA
9,York,me.uscongress1.fourth.1823,1823-11,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 4",U.S. House of Representatives,ON125,Jonathan Young,YJ0003,null,null,NA
10,York,me.uscongress1.fourth.1823,1823-11,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 4",U.S. House of Representatives,ON125,Andrew Scammon,SA0020,null,null,NA
11,York,me.uscongress1.fourth.1823,1823-11,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 4",U.S. House of Representatives,ON125,John Allen,AJ0028,null,null,NA
12,York,me.uscongress1.fourth.1823,1823-11,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 4",U.S. House of Representatives,ON125,Joseph Prime,PJ0015,null,null,NA
13,York,me.uscongress1.fourth.1823,1823-11,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 4",U.S. House of Representatives,ON125,John Bodwell,BJ0031,null,null,NA
14,York,me.uscongress1.fourth.1823,1823-11,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 4",U.S. House of Representatives,ON125,Ether Shipley,SE0012,null,null,NA
