candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,William Burleigh,BW0280,Adams,A03,1007
2,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Isaac Lane,LI0013,Crawford,A03,810
3,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Rufus MacIntire,MR0008,Adams,A03,501
4,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,John MacDonald,MJ0015,null,null,32
5,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Edward P. Hayman,HE0007,null,null,25
6,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Thomas G. Thornton,TT0009,null,null,10
7,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Benjamin Greene,GB0020,null,null,8
8,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Ether Shipley,SE0012,null,null,6
9,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Lane,null,null,null,3
10,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Samuel Fox,FS0079,null,null,2
11,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,George W. Wallingford,WG0028,null,null,2
12,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,"James Ayer, Jr.",AJ0048,null,null,1
13,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Henry B. C. Greene,GH0005,null,null,1
14,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,"John Hall, Jr.",HJ0013,null,null,1
15,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Philip Hall,HP0096,null,null,1
16,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Lane Isaac,IL0004,null,null,1
17,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Isachar Kimbell,KI0007,null,null,1
18,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Thomas Sands,ST0014,null,null,1
19,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,"Abner Sawyer, Jr.",SA0018,null,null,1
20,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,Henry Woodman,WH0002,null,null,1
21,York,me.uscongress1.second.1823,1823-06,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 2",U.S. House of Representatives,ON125,scattering,null,null,null,6
