candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,William Burleigh,BW0280,Adams,A03,2098
2,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Rufus MacIntire,MR0008,Adams,A03,1832
3,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Isaac Lane,LI0013,Crawford,A03,332
4,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,George W. Wallingford,WG0028,null,null,12
5,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Elisha Allen,AE0001,null,null,5
6,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Henry Smith,SH0004,null,null,4
7,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Enoch Wood,WE0029,null,null,4
8,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Benjamin Thomson,TB0002,null,null,3
9,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,A. K. Parris,PA0033,null,null,3
10,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,John Powers,PJ0010,null,null,3
11,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Benjamin Greene,GB0020,null,null,3
12,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Daniel Bowdoin,BD0004,null,null,3
13,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,John Bowdoin,BJ0038,null,null,3
14,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Alexander MacIntire,MA0030,null,null,3
15,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Cyrus Hall,HC0005,null,null,2
16,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,James Goodwin,GJ0007,null,null,2
17,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Thomas G. Thornton,TT0009,Adams,null,2
18,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,N. Weeks,WN0018,null,null,2
19,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Joseph Prime,PJ0015,null,null,2
20,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Elliot R. Bowdoin,BE0005,null,null,2
21,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Silas Whood,WS0020,null,null,1
22,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Carver Buker,BC0008,null,null,1
23,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Sulvester Haley,HS0005,null,null,1
24,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Daniel Appleton,AD0008,null,null,1
25,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Edward P. Hayman,HE0007,null,null,1
26,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Simon Nowell,NS0008,null,null,1
27,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,"James Ayer, Jr.",AJ0048,null,null,1
28,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,M. Swett,SM0018,null,null,1
29,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Benjamin Pike,PB0011,null,null,1
30,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Joseph Dane,DJ0174,null,null,1
31,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,John Spring,SJ0028,null,null,1
32,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Alexander Rice,RA0016,null,null,1
33,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Moses Garey,GM0019,null,null,1
34,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,John Houston,HJ0041,null,null,1
35,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Daniel Bodwell,BD0015,null,null,1
36,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Iabez Lane,LI0012,null,null,1
37,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Rufus Lane,LR0007,null,null,1
38,York,me.uscongress1.third.1823,1823-09,1823,General,"Maine 1823 U.S. House of Representatives, District 1, Ballot 3",U.S. House of Representatives,ON125,Henry Hobbs,HH0014,null,null,1
