candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,David Kidder,KD0004,null,null,462
2,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,William D. Williamson,WW0135,null,null,461
3,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,Allen Gilman,GA0017,null,null,84
4,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,David Perham,PD0025,null,null,40
5,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,Jediah Herrick,HJ0042,null,null,35
6,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,Oliver Crosby,CO0003,null,null,19
7,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,Abel Haxie,HA0014,null,null,NA
8,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,Lenas Hall,HL0038,null,null,10
9,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,Daniel J. Perley,PD0009,null,null,10
10,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,Daniel Wilkins,WD0005,null,null,9
11,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,William Emerson,EW0015,null,null,6
12,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,Ellis Burgess,BE0007,null,null,NA
13,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,Jacob MacGaw,MJ0025,null,null,3
14,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,W. A. Swett,SW0030,null,null,3
15,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,Simon Harriman,HS0004,null,null,2
16,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,John Wilkins,WJ0035,null,null,2
17,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,Abed Wilson,WA0018,null,null,2
18,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,William Wing,WW0063,null,null,NA
19,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,"William Allen, Jr.",AW0013,null,null,NA
20,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,David Boyd,BD0018,null,null,1
21,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,Rufus Gilmore,GR0007,null,null,1
22,Penobscot,me.uscongress7.1824,1824-09,1824,General,"Maine 1824 U.S. House of Representatives, District 7",U.S. House of Representatives,ON125,William Kindall,KW0012,null,null,NA
