candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Adams,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,525
2,Adams,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Adams,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Amite,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,419
2,Amite,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Amite,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Claiborne,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,468
2,Claiborne,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,4
3,Claiborne,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,1
1,Copiah,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,285
2,Copiah,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Copiah,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Covington,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,195
2,Covington,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Covington,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Franklin,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,389
2,Franklin,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Franklin,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Greene,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,183
2,Greene,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,11
3,Greene,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Hancock,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,193
2,Hancock,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Hancock,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Hinds,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,142
2,Hinds,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Hinds,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Jackson,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,98
2,Jackson,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,44
3,Jackson,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Jefferson,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,552
2,Jefferson,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Jefferson,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Lawrence,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,518
2,Lawrence,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Lawrence,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Marion,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,NA
2,Marion,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Marion,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Monroe,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,NA
2,Monroe,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Monroe,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Perry,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,214
2,Perry,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,37
3,Perry,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Pike,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,416
2,Pike,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Pike,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Simpson,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,157
2,Simpson,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Simpson,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Warren,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,361
2,Warren,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Warren,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Wayne,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,252
2,Wayne,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Wayne,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Wilkinson,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,378
2,Wilkinson,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Wilkinson,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
1,Yazoo,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,120
2,Yazoo,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,NA
3,Yazoo,ms.uscongress.1824,1824,1824,General,Mississippi 1824 U.S. House of Representatives,U.S. House of Representatives,ON125,Lenemon Shearman,SL0071,null,null,NA
