candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Bladen,nc.uscongress6.1800,1800-08,1800,General,"North Carolina 1800 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,William H. Hill,HW0233,Federalist,A01,321
2,Bladen,nc.uscongress6.1800,1800-08,1800,General,"North Carolina 1800 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,James Gillespie,GJ0328,Republican,A03,165
1,Brunswick,nc.uscongress6.1800,1800-08,1800,General,"North Carolina 1800 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,William H. Hill,HW0233,Federalist,A01,286
2,Brunswick,nc.uscongress6.1800,1800-08,1800,General,"North Carolina 1800 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,James Gillespie,GJ0328,Republican,A03,27
1,Duplin,nc.uscongress6.1800,1800-08,1800,General,"North Carolina 1800 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,William H. Hill,HW0233,Federalist,A01,201
2,Duplin,nc.uscongress6.1800,1800-08,1800,General,"North Carolina 1800 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,James Gillespie,GJ0328,Republican,A03,431
1,New Hanover,nc.uscongress6.1800,1800-08,1800,General,"North Carolina 1800 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,William H. Hill,HW0233,Federalist,A01,346
2,New Hanover,nc.uscongress6.1800,1800-08,1800,General,"North Carolina 1800 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,James Gillespie,GJ0328,Republican,A03,245
1,Onslow,nc.uscongress6.1800,1800-08,1800,General,"North Carolina 1800 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,William H. Hill,HW0233,Federalist,A01,332
2,Onslow,nc.uscongress6.1800,1800-08,1800,General,"North Carolina 1800 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,James Gillespie,GJ0328,Republican,A03,87
1,Sampson,nc.uscongress6.1800,1800-08,1800,General,"North Carolina 1800 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,William H. Hill,HW0233,Federalist,A01,406
2,Sampson,nc.uscongress6.1800,1800-08,1800,General,"North Carolina 1800 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,James Gillespie,GJ0328,Republican,A03,53
