candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,"William Plummer, Jr.",PW0147,null,null,2438
2,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Nathaniel Upham,UN0000,null,null,2342
3,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Josiah Butler,BJ0582,null,null,2308
4,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Matthew Harvey,HM0125,null,null,2416
5,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Aaron Matson,MA0095,null,null,1451
6,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,"Thomas Whipple, Jr.",WT0107,null,null,1401
7,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Arthur Livermore,LA0074,null,null,1156
8,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Levi Jackson,JL0008,null,null,975
9,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Clifton Clagett,CC0033,null,null,24
10,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,William Hale,HW0187,null,null,41
11,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Jeremiah Smith,SJ0471,Federalist,A01,NA
12,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Moses P. Payson,PM0041,null,null,NA
13,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Stephen Moody,MS0196,null,null,NA
14,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Edmund Parker,PE0135,null,null,NA
15,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Parker Noyes,NP0004,null,null,NA
16,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,John Haven,HJ1102,null,null,NA
17,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,George B. Upham,UG0000,null,null,1
18,Cheshire,nh.uscongress.1820,1820-11,1820,General,New Hampshire 1820 U.S. House of Representatives,U.S. House of Representatives,ON125,Amos Kent,KA0060,null,null,NA
