election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,James Mott,MJ0399,Republican,A03,1,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Ebenezer Elmer,EE0016,Republican,A03,2,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,John Condit,CJ0382,Republican,A03,3,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,William Helms,HW0205,Republican,A03,4,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Henry Southard,SH0055,Republican,A03,5,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Aaron Ogden,OA0025,Federalist,A01,6,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Peter D. Vroom,VP0002,Federalist,A01,7,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,James H. Imlay,IJ0057,Federalist,A01,8,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Franklin Davenport,DF0014,Federalist,A01,9,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,William Coxe,CW0104,Federalist,A01,10,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,William Southard,SW0048,null,null,11,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Aaron Kitchell,KA0023,Republican,A03,12,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Silas Condit,CS0064,Republican,A03,13,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Newbold,NT0008,null,null,14,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Abraham Kitchell,KA0027,null,null,15,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,M. Furman,FM0029,null,null,16,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Jonathan Lambert,LJ0012,null,null,17,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Artis Seagrave,SA0103,null,null,18,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,D. Marsh,MD0004,null,null,19,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,W. Woodhull,WW0142,null,null,20,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,William Parrett,PW0145,Republican,A03,21,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Joseph Cooper,CJ0399,null,null,22,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Jonathan Elmer,EJ0094,Federalist,A01,23,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,W. Camfield,CW0039,null,null,24,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,John Outwater,OJ0033,null,null,25,NA,NA
nj.congress.1800,1800,1800,General,New Jersey 1800 U.S. House of Representatives,U.S. House of Representatives,ON125,Stephen Sayre,SS0011,null,null,26,NA,NA
