election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,Abraham Clark,CA0071,null,null,1,NA,NA
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,Jonathan Dayton,DJ0209,Federalist,A01,2,NA,NA
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,Elias Boudinot,BE0179,Federalist,A01,3,NA,NA
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,Aaron Kitchel,KA0023,null,null,4,NA,NA
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,Lambert Cadwalader,CL0010,Federalist,A01,5,NA,NA
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,James Linn,LJ0151,null,null,6,NA,NA
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Sinnickson,ST0147,Federalist,A01,7,NA,NA
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,Robert Hoops,HR0098,null,null,8,NA,NA
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Henderson,HT0100,Federalist,A01,9,NA,NA
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,John Witherspoon,WJ0338,null,null,10,NA,NA
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,John Beatty,BJ0587,Federalist,A01,11,NA,NA
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,John Sheppard,SJ0521,null,null,12,NA,NA
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,Joseph Ellis,EJ0229,null,null,13,NA,NA
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,Robert Ogden,OR0010,null,null,14,NA,NA
nj.uscongress.1791,1791,1791,General,New Jersey 1791 U.S. House of Representatives,U.S. House of Representatives,ON125,James Schureman,SJ0522,null,null,15,NA,NA
