election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,overview_vote
nj.uscongress.1814,1814,1814,General,New Jersey 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,Henry Southard,SH0055,Republican,A03,1,17859
nj.uscongress.1814,1814,1814,General,New Jersey 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,Lewis Condit,CL0013,Republican,A03,2,17833
nj.uscongress.1814,1814,1814,General,New Jersey 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,Ephraim Bateman,BE0175,Republican,A03,3,17803
nj.uscongress.1814,1814,1814,General,New Jersey 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,Ezra Baker,BE0168,Republican,A03,4,17791
nj.uscongress.1814,1814,1814,General,New Jersey 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,Benjamin Bennett,BB0035,Republican,A03,5,17776
nj.uscongress.1814,1814,1814,General,New Jersey 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,Thomas Ward,WT0111,Republican,A03,6,17741
nj.uscongress.1814,1814,1814,General,New Jersey 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,John Frelinghuysen,FJ0154,Federalist,A01,7,16697
nj.uscongress.1814,1814,1814,General,New Jersey 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,John N. Cumming,CJ0450,Federalist,A01,8,16680
nj.uscongress.1814,1814,1814,General,New Jersey 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,James Parker,PJ0264,Federalist,A01,9,16666
nj.uscongress.1814,1814,1814,General,New Jersey 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,James Giles,GJ0265,Federalist,A01,10,16644
nj.uscongress.1814,1814,1814,General,New Jersey 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel W. Harrison,HS0123,Federalist,A01,11,16639
nj.uscongress.1814,1814,1814,General,New Jersey 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,Jacob S. Thompson,TJ0271,Federalist,A01,12,16598
nj.uscongress.1814,1814,1814,General,New Jersey 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,William B. Ewing,EW0062,null,null,13,1
nj.uscongress.1814,1814,1814,General,New Jersey 1814 U.S. House of Representatives,U.S. House of Representatives,ON125,Aaron Ogden,OA0025,Federalist,A01,14,1
