candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,George Holcombe,HG0047,null,null,9
2,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Swan,SS0156,null,null,3
3,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,George Cassedy,CG0110,null,null,9
4,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Lewis Condict,CL0013,null,null,10
5,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,James Matlack,MJ0888,null,null,3
6,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Daniel Garrison,GD0024,null,null,NA
7,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Ephraim Bateman,BE0175,null,null,58
8,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Robert W. Rutherford,RR0029,null,null,NA
9,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,James Parker,PJ0264,null,null,4
10,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Charles Ewing,EC0012,null,null,3
11,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Isaac Southard,SI0113,null,null,NA
12,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,John Rutherford,RJ0608,null,null,NA
13,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Joshua Buck,BJ1168,null,null,9
14,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Enoch Doughty,DE0080,null,null,7
15,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Joseph MacIlvaine,MJ0436,null,null,7
16,Cape May,nj.uscongress.1822,1822-10,1822,General,New Jersey 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel L. James,JS0038,null,null,5
