candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Adams,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Jeremiah Morrow,MJ0625,Republican,A03,336
2,Adams,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William MacMillan,MW0257,Federalist,A01,12
3,Adams,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Michael Baldwin,BM0081,Republican,A03,77
4,Adams,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Elias Langham,LE0075,Republican,A03,3
5,Adams,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William Goforth,GW0114,Republican,A03,78
6,Adams,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Bazaleel Wells,WB0051,Federalist,A01,NA
7,Adams,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,David Abbott,AD0027,Republican,A03,NA
8,Adams,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William MacIntire,MW0086,null,null,4
9,Adams,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,John Byland,BJ0296,null,null,NA
10,Adams,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Philemon Beecher,BP0045,Federalist,A01,NA
11,Adams,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Sheperd,SS0064,null,null,NA
1,Belmont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Jeremiah Morrow,MJ0625,Republican,A03,300
2,Belmont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William MacMillan,MW0257,Federalist,A01,191
3,Belmont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Michael Baldwin,BM0081,Republican,A03,3
4,Belmont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Elias Langham,LE0075,Republican,A03,NA
5,Belmont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William Goforth,GW0114,Republican,A03,3
6,Belmont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Bazaleel Wells,WB0051,Federalist,A01,NA
7,Belmont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,David Abbott,AD0027,Republican,A03,NA
8,Belmont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William MacIntire,MW0086,null,null,NA
9,Belmont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,John Byland,BJ0296,null,null,NA
10,Belmont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Philemon Beecher,BP0045,Federalist,A01,NA
11,Belmont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Sheperd,SS0064,null,null,NA
1,Butler,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Jeremiah Morrow,MJ0625,Republican,A03,174
2,Butler,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William MacMillan,MW0257,Federalist,A01,201
3,Butler,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Michael Baldwin,BM0081,Republican,A03,2
4,Butler,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Elias Langham,LE0075,Republican,A03,NA
5,Butler,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William Goforth,GW0114,Republican,A03,5
6,Butler,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Bazaleel Wells,WB0051,Federalist,A01,NA
7,Butler,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,David Abbott,AD0027,Republican,A03,NA
8,Butler,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William MacIntire,MW0086,null,null,NA
9,Butler,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,John Byland,BJ0296,null,null,1
10,Butler,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Philemon Beecher,BP0045,Federalist,A01,NA
11,Butler,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Sheperd,SS0064,null,null,NA
1,Clermont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Jeremiah Morrow,MJ0625,Republican,A03,117
2,Clermont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William MacMillan,MW0257,Federalist,A01,78
3,Clermont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Michael Baldwin,BM0081,Republican,A03,24
4,Clermont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Elias Langham,LE0075,Republican,A03,3
5,Clermont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William Goforth,GW0114,Republican,A03,51
6,Clermont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Bazaleel Wells,WB0051,Federalist,A01,NA
7,Clermont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,David Abbott,AD0027,Republican,A03,NA
8,Clermont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William MacIntire,MW0086,null,null,NA
9,Clermont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,John Byland,BJ0296,null,null,NA
10,Clermont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Philemon Beecher,BP0045,Federalist,A01,NA
11,Clermont,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Sheperd,SS0064,null,null,NA
1,Columbiana,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Jeremiah Morrow,MJ0625,Republican,A03,179
2,Columbiana,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William MacMillan,MW0257,Federalist,A01,NA
3,Columbiana,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Michael Baldwin,BM0081,Republican,A03,1
4,Columbiana,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Elias Langham,LE0075,Republican,A03,NA
5,Columbiana,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William Goforth,GW0114,Republican,A03,NA
6,Columbiana,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Bazaleel Wells,WB0051,Federalist,A01,73
7,Columbiana,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,David Abbott,AD0027,Republican,A03,NA
8,Columbiana,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William MacIntire,MW0086,null,null,NA
9,Columbiana,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,John Byland,BJ0296,null,null,NA
10,Columbiana,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Philemon Beecher,BP0045,Federalist,A01,NA
11,Columbiana,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Sheperd,SS0064,null,null,NA
1,Fairfield,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Jeremiah Morrow,MJ0625,Republican,A03,153
2,Fairfield,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William MacMillan,MW0257,Federalist,A01,46
3,Fairfield,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Michael Baldwin,BM0081,Republican,A03,167
4,Fairfield,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Elias Langham,LE0075,Republican,A03,13
5,Fairfield,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William Goforth,GW0114,Republican,A03,NA
6,Fairfield,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Bazaleel Wells,WB0051,Federalist,A01,NA
7,Fairfield,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,David Abbott,AD0027,Republican,A03,NA
8,Fairfield,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William MacIntire,MW0086,null,null,NA
9,Fairfield,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,John Byland,BJ0296,null,null,NA
10,Fairfield,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Philemon Beecher,BP0045,Federalist,A01,1
11,Fairfield,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Samuel Sheperd,SS0064,null,null,NA
1,Franklin,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Jeremiah Morrow,MJ0625,Republican,A03,2
2,Franklin,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William MacMillan,MW0257,Federalist,A01,34
3,Franklin,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Michael Baldwin,BM0081,Republican,A03,50
4,Franklin,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,Elias Langham,LE0075,Republican,A03,44
5,Franklin,oh.uscongress.1803,1803-06,1803,General,Ohio 1803 U.S. House of Representatives,U.S. House of Representatives,ON125,William Goforth,GW0114,Republican,A03,NA
