candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote
1,Coshocton,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Wilson,WW0209,null,null,896
2,Coshocton,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,Orris Parish,PO0021,null,null,35
3,Coshocton,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,James Kilbourn,KJ0144,null,null,86
4,Coshocton,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,Daniel S. Norton,ND0025,null,null,4
5,Coshocton,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Stanbery,SW0192,null,null,NA
6,Coshocton,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Gavit,GW0115,null,null,NA
1,Delaware,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Wilson,WW0209,null,null,215
2,Delaware,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,Orris Parish,PO0021,null,null,477
3,Delaware,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,James Kilbourn,KJ0144,null,null,434
4,Delaware,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,Daniel S. Norton,ND0025,null,null,54
5,Delaware,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Stanbery,SW0192,null,null,20
6,Delaware,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Gavit,GW0115,null,null,NA
1,Franklin,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Wilson,WW0209,null,null,379
2,Franklin,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,Orris Parish,PO0021,null,null,770
3,Franklin,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,James Kilbourn,KJ0144,null,null,321
4,Franklin,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,Daniel S. Norton,ND0025,null,null,NA
5,Franklin,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Stanbery,SW0192,null,null,9
6,Franklin,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Gavit,GW0115,null,null,NA
1,Knox,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Wilson,WW0209,null,null,467
2,Knox,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,Orris Parish,PO0021,null,null,NA
3,Knox,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,James Kilbourn,KJ0144,null,null,33
4,Knox,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,Daniel S. Norton,ND0025,null,null,508
5,Knox,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Stanbery,SW0192,null,null,3
6,Knox,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Gavit,GW0115,null,null,NA
1,Licking,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Wilson,WW0209,null,null,1102
2,Licking,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,Orris Parish,PO0021,null,null,169
3,Licking,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,James Kilbourn,KJ0144,null,null,106
4,Licking,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,Daniel S. Norton,ND0025,null,null,53
5,Licking,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Stanbery,SW0192,null,null,118
6,Licking,oh.uscongress8.1822,1822-10,1822,General,"Ohio 1822 U.S. House of Representatives, District 8",U.S. House of Representatives,ON125,William Gavit,GW0115,null,null,22
